company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
OSP Hamilton Purchaser LLC,co_c35ac194d8dc,First Lien,,11.1%,,SOFR,6.25%,,,4713,4572,4571,0.4%,4572,,,,BBDC,2023-05-04
OSP Hamilton Purchaser LLC,co_c35ac194d8dc,Revolver,,11%,,SOFR,6%,,,56,45,43,0%,45,,,,BBDC,2023-05-04
OSP Hamilton Purchaser LLC,co_c35ac194d8dc,Other Equity,,,,,,,,,351,360,0%,351,,,,BBDC,2023-05-04
Panoche Energy Center LLC,co_a8a8def6e942,First Lien,Energy,6.9%,,,,,,4636,4185,4312,0.4%,4185,,,,BBDC,2023-05-04
Pare SAS (SAS Maurice MARLE) Health Care Equipment,co_2c3d4204526e,First Lien,Healthcare,8.6%,0.75%,SOFR,6.5%,,,2780,2821,2708,0.2%,2821,,,,BBDC,2023-05-04
Pare SAS (SAS Maurice MARLE) Health Care Equipment,co_2c3d4204526e,First Lien,Healthcare,10.2%,,SOFR,6.5%,,,1500,1500,1461,0.1%,1500,,,,BBDC,2023-05-04
Patriot New Midco 1 Limited (Forensic Risk Alliance) Diversified Financial Services,co_9fdd3fe6628f,First Lien,,9.4%,,SOFR,6.75%,,,2708,2676,2587,0.2%,2676,,,,BBDC,2023-05-04
Patriot New Midco 1 Limited (Forensic Risk Alliance) Diversified Financial Services,co_9fdd3fe6628f,First Lien,,11.4%,,SOFR,6.75%,,,3318,3268,3169,0.3%,3268,,,,BBDC,2023-05-04
PDQ.Com Corp.,co_1f2ace21cbc0,First Lien,,9.7%,,SOFR,4.75%,,,8318,8091,8162,0.7%,8091,,,,BBDC,2023-05-04
PDQ.Com Corp.,co_1f2ace21cbc0,Other Equity,,,,,,,,,29,45,0%,29,,,,BBDC,2023-05-04
Perimeter Master Note Business Trust Credit Card ABS,co_11caa01c4ecd,Other Equity,,4.7%,,,,,,182,182,177,0%,182,,,,BBDC,2023-05-04
Perimeter Master Note Business Trust Credit Card ABS,co_11caa01c4ecd,Other Equity,,5.4%,,,,,,182,182,172,0%,182,,,,BBDC,2023-05-04
Perimeter Master Note Business Trust Credit Card ABS,co_11caa01c4ecd,Other Equity,,5.9%,,,,,,182,182,166,0%,182,,,,BBDC,2023-05-04
Perimeter Master Note Business Trust Credit Card ABS,co_11caa01c4ecd,Other Equity,,8.5%,,,,,,182,182,161,0%,182,,,,BBDC,2023-05-04
Perimeter Master Note Business Trust Credit Card ABS,co_11caa01c4ecd,Other Equity,,11.4%,,,,,,9274,9274,8185,0.7%,9274,,,,BBDC,2023-05-04
Permaconn BidCo Pty Ltd.,co_fac950eef567,First Lien,,9.7%,,SOFR,6%,,,2744,2867,2700,0.2%,2867,,,,BBDC,2023-05-04
Polara Enterprises LLC. Capital Equipment,co_a81b665d23a0,First Lien,Industrials,9.8%,,SOFR,4.75%,,,1230,1210,1212,0.1%,1210,,,,BBDC,2023-05-04
Polara Enterprises LLC. Capital Equipment,co_a81b665d23a0,Revolver,Industrials,9.8%,,SOFR,4.75%,,,0,-9,-8,0%,-9,,,,BBDC,2023-05-04
Polara Enterprises LLC. Capital Equipment,co_a81b665d23a0,Other Equity,Industrials,,,,,,,,741,933,0.1%,741,,,,BBDC,2023-05-04
Policy Services Company LLC,co_45bc03cfa071,First Lien,Business Services,10.8%,4%,SOFR,6%,,,50133,49056,49055,4.1%,49056,,,,BBDC,2023-05-04
Policy Services Company LLC,co_45bc03cfa071,Warrants,Business Services,,,,,,,,0,301,0%,0,,,,BBDC,2023-05-04
Policy Services Company LLC,co_45bc03cfa071,Warrants,Business Services,,,,,,,,0,102,0%,0,,,,BBDC,2023-05-04
Policy Services Company LLC,co_45bc03cfa071,Warrants,Business Services,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Policy Services Company LLC,co_45bc03cfa071,Warrants,Business Services,,,,,,,,0,29,0%,0,,,,BBDC,2023-05-04
Polymer Solutions Group Holdings LLC,co_b61690475da5,First Lien,Chemicals & Materials,11.9%,,SOFR,7%,,,997,997,997,0.1%,997,,,,BBDC,2023-05-04
Premium Franchise Brands LLC,co_b02382ce0e70,First Lien,,11.1%,,SOFR,6.25%,,,12643,12473,12500,1%,12473,,,,BBDC,2023-05-04
Premium Invest Brokerage Asset Managers & Exchanges,co_4e85770231ff,First Lien,Financial Services,8%,,SOFR,5.25%,,,5758,5812,5758,0.5%,5812,,,,BBDC,2023-05-04
Preqin MC Limited Banking Finance Insurance & Real Estate,co_641ebe9e34f5,First Lien,Insurance,10%,,SOFR,5.25%,,,2789,2722,2716,0.2%,2722,,,,BBDC,2023-05-04
Process Equipment Inc.,co_292a29be06b2,First Lien,Industrials,10.6%,,SOFR,5.75%,,,330,329,305,0%,329,,,,BBDC,2023-05-04
Process Equipment Inc.,co_292a29be06b2,First Lien,Industrials,10.9%,,SOFR,5.75%,,,5329,5307,4919,0.4%,5307,,,,BBDC,2023-05-04
Professional Datasolutions Inc.,co_efa371cc6ae5,First Lien,Business Services,9.3%,,SOFR,4.5%,,,1813,1812,1758,0.1%,1812,,,,BBDC,2023-05-04
ProfitOptics LLC,co_44a017d20c00,First Lien,,10.8%,,SOFR,5.75%,,,1648,1620,1638,0.1%,1620,,,,BBDC,2023-05-04
ProfitOptics LLC,co_44a017d20c00,Revolver,,10.8%,,SOFR,5.75%,,,177,169,175,0%,169,,,,BBDC,2023-05-04
ProfitOptics LLC,co_44a017d20c00,Second Lien,,8%,,,,,,81,81,75,0%,81,,,,BBDC,2023-05-04
ProfitOptics LLC,co_44a017d20c00,Other Equity,,,,,,,,,161,189,0%,161,,,,BBDC,2023-05-04
Proppants Holding LLC,co_8558ef543458,Other Equity,Energy,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Protego Bidco B.V. Aerospace & Defense,co_11c969a8a561,First Lien,Aerospace & Defense,9.3%,,SOFR,6.25%,,,1479,1571,1406,0.1%,1571,,,,BBDC,2023-05-04
Protego Bidco B.V. Aerospace & Defense,co_11c969a8a561,Revolver,Aerospace & Defense,8.3%,,SOFR,5.25%,,,2128,2277,2049,0.2%,2277,,,,BBDC,2023-05-04
PSP Intermediate 4 LLC,co_d51ac48100c7,First Lien,Media & Entertainment,8.2%,,SOFR,5.25%,,,888,826,825,0.1%,826,,,,BBDC,2023-05-04
PSP Intermediate 4 LLC,co_d51ac48100c7,First Lien,Media & Entertainment,10.3%,,SOFR,5.25%,,,866,844,832,0.1%,844,,,,BBDC,2023-05-04
QPE7 SPV1 BidCo Pty Ltd.,co_77f046ad90e2,First Lien,,7.4%,,SOFR,3.75%,,,1847,1966,1769,0.1%,1966,,,,BBDC,2023-05-04
Qualified Industries LLC,co_fd44ca66b202,First Lien,,10.4%,,SOFR,5.75%,,,606,588,588,0%,588,,,,BBDC,2023-05-04
Qualified Industries LLC,co_fd44ca66b202,Revolver,,10.4%,,SOFR,5.75%,,,0,-7,-7,0%,-7,,,,BBDC,2023-05-04
Qualified Industries LLC,co_fd44ca66b202,Preferred Equity,,,,,,,,,144,144,0%,144,,,,BBDC,2023-05-04
Qualified Industries LLC,co_fd44ca66b202,Common Equity,,,,,,,,,3,3,0%,3,,,,BBDC,2023-05-04
Questel Unite Business Services,co_329edd30f1cb,First Lien,Business Services,11.3%,,SOFR,6.25%,,,6892,6818,6727,0.6%,6818,,,,BBDC,2023-05-04
R1 Holdings LLC,co_22ee80e658ad,First Lien,,11.1%,,SOFR,6.25%,,,11081,10665,10688,0.9%,10665,,,,BBDC,2023-05-04
R1 Holdings LLC,co_22ee80e658ad,Revolver,,11.1%,,SOFR,6.25%,,,472,405,408,0%,405,,,,BBDC,2023-05-04
RA Outdoors LLC,co_752677def022,First Lien,,11.4%,,SOFR,6.75%,,,12917,12658,12658,1.1%,12658,,,,BBDC,2023-05-04
RA Outdoors LLC,co_752677def022,Revolver,,11.4%,,SOFR,6.75%,,,370,370,346,0%,370,,,,BBDC,2023-05-04
Randys Holdings Inc.,co_26dad21bd38c,First Lien,Automotive,11.4%,,SOFR,6.5%,,11/28,13204,12723,12749,1.1%,12723,,,,BBDC,2023-05-04
Randys Holdings Inc.,co_26dad21bd38c,Revolver,Automotive,11.4%,,SOFR,6.5%,,,352,300,304,0%,300,,,,BBDC,2023-05-04
Randys Holdings Inc.,co_26dad21bd38c,Other Equity,Automotive,,,,,,,,533,532,0%,533,,,,BBDC,2023-05-04
Recovery Point Systems Inc.,co_38208589e59d,First Lien,,11.3%,,SOFR,6.5%,,,11501,11359,11501,1%,11359,,,,BBDC,2023-05-04
Recovery Point Systems Inc.,co_38208589e59d,Other Equity,,,,,,,,,187,151,0%,187,,,,BBDC,2023-05-04
Renovation Parent Holdings LLC,co_5fb256581494,First Lien,,10.4%,,SOFR,5.5%,,,4794,4698,4204,0.3%,4698,,,,BBDC,2023-05-04
Renovation Parent Holdings LLC,co_5fb256581494,Other Equity,,,,,,,,,197,65,0%,197,,,,BBDC,2023-05-04
REP SEKO MERGER SUB LLC,co_4a3d36d7da1d,First Lien,,8%,,SOFR,4.75%,,,9729,9255,9583,0.8%,9255,,,,BBDC,2023-05-04
REP SEKO MERGER SUB LLC,co_4a3d36d7da1d,First Lien,,9.9%,,SOFR,4.75%,,,1440,1407,1410,0.1%,1407,,,,BBDC,2023-05-04
Resolute Investment Managers Inc.,co_a58722ab00cf,Second Lien,Financial Services,12.8%,,SOFR,8%,,,5081,5107,3049,0.3%,5107,,,,BBDC,2023-05-04
Resonetics LLC,co_6d557641395c,Second Lien,,12.3%,,SOFR,7%,,,4011,3944,3967,0.3%,3944,,,,BBDC,2023-05-04
Reward Gateway (UK) Ltd.,co_46bad03eefcf,First Lien,,8.4%,,SOFR,6.25%,,,2971,3233,2927,0.2%,3233,,,,BBDC,2023-05-04
Rhondda Financing No. 1 DAC Finance Companies,co_d70b5b47001f,First Lien,Financial Services,,,,,,,9378,9382,9378,0.8%,9382,,,,BBDC,2023-05-04
Riedel Beheer B.V. Food & Beverage,co_4df279a8593c,First Lien,Food & Beverage,9.3%,,SOFR,6.25%,,,2253,2250,2107,0.2%,2250,,,,BBDC,2023-05-04
Royal Buyer LLC,co_ee2fb330beda,First Lien,,10.6%,,SOFR,6%,,,11143,10900,10930,0.9%,10900,,,,BBDC,2023-05-04
Royal Buyer LLC,co_ee2fb330beda,Revolver,,10.6%,,SOFR,6%,,,408,376,380,0%,376,,,,BBDC,2023-05-04
RPX Corp.,co_6b297f8fe668,First Lien,,10.3%,,SOFR,5.5%,,,7241,7136,7160,0.6%,7136,,,,BBDC,2023-05-04
RTIC Subsidiary Holdings LLC,co_7851f4467604,First Lien,,12.1%,,SOFR,7.75%,,,9279,9279,8815,0.7%,9279,,,,BBDC,2023-05-04
RTIC Subsidiary Holdings LLC,co_7851f4467604,Revolver,,12.1%,,SOFR,7.75%,,,2381,2381,2183,0.2%,2381,,,,BBDC,2023-05-04
RTIC Subsidiary Holdings LLC,co_7851f4467604,Preferred Equity,,,,,,,,,4,0,0%,4,,,,BBDC,2023-05-04
RTIC Subsidiary Holdings LLC,co_7851f4467604,Preferred Equity,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
RTIC Subsidiary Holdings LLC,co_7851f4467604,Preferred Equity,,,,,,,,,450,62,0%,450,,,,BBDC,2023-05-04
RTIC Subsidiary Holdings LLC,co_7851f4467604,Common Equity,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Ruffalo Noel Levitz LLC,co_80c97801395e,First Lien,,11.2%,,SOFR,6%,,,9397,9397,9171,0.8%,9397,,,,BBDC,2023-05-04
Safety Products Holdings LLC,co_e2cc7f7ec95a,First Lien,,11.2%,,SOFR,6%,,,11919,11742,11785,1%,11742,,,,BBDC,2023-05-04
Safety Products Holdings LLC,co_e2cc7f7ec95a,Preferred Equity,,,,,,,,,372,491,0%,372,,,,BBDC,2023-05-04
Sanoptis S.A.R.L. Healthcare & Pharmaceuticals,co_ca006a4c7dd9,First Lien,Healthcare,8.5%,,SOFR,5.5%,,,2577,2332,2498,0.2%,2332,,,,BBDC,2023-05-04
Sanoptis S.A.R.L. Healthcare & Pharmaceuticals,co_ca006a4c7dd9,First Lien,Healthcare,5.9%,,SOFR,5.5%,,,4046,3740,3943,0.3%,3740,,,,BBDC,2023-05-04
SBP Holdings LP,co_da1d859b87be,First Lien,,11.6%,,SOFR,6.75%,,,12466,11979,11978,1%,11979,,,,BBDC,2023-05-04
SBP Holdings LP,co_da1d859b87be,Revolver,,11.6%,,SOFR,6.75%,,,177,140,140,0%,140,,,,BBDC,2023-05-04
Scaled Agile Inc.,co_2285268abca0,First Lien,,10.5%,,SOFR,5.5%,,,1731,1699,1706,0.1%,1699,,,,BBDC,2023-05-04
Scaled Agile Inc.,co_2285268abca0,Revolver,,10.5%,,SOFR,5.5%,,,0,-5,-4,0%,-5,,,,BBDC,2023-05-04
Scout Bidco B.V. Diversified Manufacturing,co_8e76f3ae36f7,First Lien,Industrials,9.2%,,SOFR,6%,,,6602,6293,6477,0.5%,6293,,,,BBDC,2023-05-04
Scout Bidco B.V. Diversified Manufacturing,co_8e76f3ae36f7,Revolver,Industrials,9.2%,,SOFR,6%,,,0,-23,-15,0%,-23,,,,BBDC,2023-05-04
Sereni Capital NV Consumer Cyclical,co_7a8e8c0fdca6,First Lien,Consumer & Retail,8.2%,,SOFR,5.75%,,,475,395,406,0%,395,,,,BBDC,2023-05-04
Sereni Capital NV Consumer Cyclical,co_7a8e8c0fdca6,First Lien,Consumer & Retail,8.2%,,SOFR,5.75%,,,499,479,476,0%,479,,,,BBDC,2023-05-04
Serta Simmons Bedding LLC,co_41d565fef342,First Lien,,12.3%,,SOFR,7.5%,,,7257,7229,7105,0.6%,7229,,,,BBDC,2023-05-04
Serta Simmons Bedding LLC,co_41d565fef342,First Lien,,,,SOFR,7.5%,,,3562,3372,2016,0.2%,3372,,,,BBDC,2023-05-04
Shelf Bidco Ltd.,co_f9e084dc6b85,First Lien,,10.7%,,SOFR,6%,,,34800,33746,33759,2.8%,33746,,,,BBDC,2023-05-04
Shelf Bidco Ltd.,co_f9e084dc6b85,Common Equity,,,,,,,,,1200,1200,0.1%,1200,,,,BBDC,2023-05-04
SISU ACQUISITIONCO. INC.,co_d2e3e3af88f9,First Lien,,10.4%,,SOFR,5.25%,,,6921,6828,6623,0.5%,6828,,,,BBDC,2023-05-04
SMART Financial Operations LLC,co_b91bdf879d79,Preferred Equity,Financial Services,,,,,,,,0,110,0%,0,,,,BBDC,2023-05-04
Smartling Inc.,co_da3464f517a9,First Lien,,10.6%,,SOFR,5.75%,,,13673,13423,13297,1.1%,13423,,,,BBDC,2023-05-04
Smartling Inc.,co_da3464f517a9,Revolver,,10.6%,,SOFR,5.75%,,,0,-18,-28,0%,-18,,,,BBDC,2023-05-04
Smile Brands Group Inc.,co_eecf07126d49,First Lien,,9.3%,,SOFR,4.5%,,,4524,4512,4131,0.3%,4512,,,,BBDC,2023-05-04
Smile Brands Group Inc.,co_eecf07126d49,First Lien,,9.3%,,SOFR,4.5%,,,614,608,560,0%,608,,,,BBDC,2023-05-04
SN BUYER LLC,co_fca789a58930,First Lien,,10.5%,,SOFR,5.75%,,,11129,10981,10938,0.9%,10981,,,,BBDC,2023-05-04
Soho Square III Debtco II SARL Diversified Capital Markets,co_2ff4fa97b271,First Lien,Financial Services,,9.5%,,,,,5796,5178,5777,0.5%,5178,,,,BBDC,2023-05-04
SOLO Buyer LP. Technology,co_6da7460de2c0,First Lien,Software & Technology,11.4%,,SOFR,6.25%,,,22606,22060,22072,1.8%,22060,,,,BBDC,2023-05-04
SOLO Buyer LP. Technology,co_6da7460de2c0,Revolver,Software & Technology,11.4%,,SOFR,6.25%,,,0,-47,-47,0%,-47,,,,BBDC,2023-05-04
SOLO Buyer LP. Technology,co_6da7460de2c0,Other Equity,Software & Technology,,,,,,,,516,519,0%,516,,,,BBDC,2023-05-04
Sound Point CLO XX Ltd.,co_12211b83ae02,Subordinated Debt,,,,,,,,4489,2190,848,0.1%,2190,,,,BBDC,2023-05-04
Sparus Holdings LLC,co_9ae83dabc1b7,First Lien,,9.9%,,SOFR,5%,,,1935,1887,1889,0.2%,1887,,,,BBDC,2023-05-04
Sparus Holdings LLC,co_9ae83dabc1b7,Revolver,,12%,,SOFR,4%,,,16,12,13,0%,12,,,,BBDC,2023-05-04
Spatial Business Systems LLC,co_06e1c84b6d3c,First Lien,,9.8%,,SOFR,5%,,,6094,5779,5810,0.5%,5779,,,,BBDC,2023-05-04
Spatial Business Systems LLC,co_06e1c84b6d3c,Revolver,,9.8%,,SOFR,5%,,,0,-32,-29,0%,-32,,,,BBDC,2023-05-04
Springbrook Software (SBRK Intermediate Inc.) Enterprise Software & Services,co_b8eccd65baa6,First Lien,Media & Entertainment,10.7%,,SOFR,5.75%,,,20875,20622,20493,1.7%,20622,,,,BBDC,2023-05-04
Springbrook Software (SBRK Intermediate Inc.) Enterprise Software & Services,co_b8eccd65baa6,First Lien,Media & Entertainment,11.3%,,SOFR,6.5%,,,2812,2759,2761,0.2%,2759,,,,BBDC,2023-05-04
SSCP Pegasus Midco Limited Healthcare & Pharmaceuticals,co_6bbb2357d322,First Lien,Healthcare,10.2%,,SOFR,6.25%,,,2514,2574,2468,0.2%,2574,,,,BBDC,2023-05-04
Starnmeer B.V. Technology,co_1629ede219ec,First Lien,Software & Technology,11.2%,,SOFR,6.4%,,,2500,2471,2480,0.2%,2471,,,,BBDC,2023-05-04
Superjet Buyer LLC,co_73d773b90cdd,First Lien,,10.7%,,SOFR,5.75%,,,13010,12795,12858,1.1%,12795,,,,BBDC,2023-05-04
Superjet Buyer LLC,co_73d773b90cdd,Revolver,,10.7%,,SOFR,5.75%,,,0,-29,-21,0%,-29,,,,BBDC,2023-05-04
Syniverse Holdings Inc.,co_c3a0fdcf52ab,Preferred Equity,,,12.5%,,,,,,7945,7197,0.6%,7945,,,,BBDC,2023-05-04
Syntax Systems Ltd.,co_c878e2dc3e65,First Lien,,10.6%,,SOFR,5.75%,,,2013,1991,1819,0.2%,1991,,,,BBDC,2023-05-04
Syntax Systems Ltd.,co_c878e2dc3e65,Revolver,,10.6%,,SOFR,5.75%,,,809,802,759,0.1%,802,,,,BBDC,2023-05-04
TA SL Cayman Aggregator Corp.,co_2f13b02fe4e8,Subordinated Debt,,,7.8%,,,,,2302,2271,2233,0.2%,2271,,,,BBDC,2023-05-04
TA SL Cayman Aggregator Corp.,co_2f13b02fe4e8,Common Equity,,,,,,,,,50,61,0%,50,,,,BBDC,2023-05-04
Tank Holding Corp.,co_b2a29c9530cb,First Lien,,10.7%,,SOFR,5.75%,,,11072,10857,10906,0.9%,10857,,,,BBDC,2023-05-04
Tank Holding Corp.,co_b2a29c9530cb,Revolver,,10.7%,,SOFR,5.75%,,,247,231,234,0%,231,,,,BBDC,2023-05-04
TANQUERAY BIDCO Ltd.,co_d2b207ff9316,First Lien,Software & Technology,9.7%,,SOFR,6.25%,,11/29,1678,1490,1611,0.1%,1490,,,,BBDC,2023-05-04
Team Car Care LLC,co_a8ef7f5b08c1,First Lien,,12.3%,,SOFR,7.5%,,,11715,11715,11598,1%,11715,,,,BBDC,2023-05-04
Team Services Group Services: Consumer,co_cb72a94c414d,First Lien,Consumer & Retail,9.9%,,SOFR,5%,,,9812,9812,9518,0.8%,9812,,,,BBDC,2023-05-04
Team Services Group Services: Consumer,co_cb72a94c414d,Second Lien,Consumer & Retail,13.9%,,SOFR,9%,,,5000,4975,4700,0.4%,4975,,,,BBDC,2023-05-04
Techone B.V. Technology,co_a56342eb69b2,First Lien,Software & Technology,8.7%,,SOFR,5.5%,,,3787,3761,3695,0.3%,3761,,,,BBDC,2023-05-04
Techone B.V. Technology,co_a56342eb69b2,Revolver,Software & Technology,8.7%,,SOFR,5.5%,,,206,189,194,0%,189,,,,BBDC,2023-05-04
Tencarva Machinery Company LLC,co_18bf440ddf7c,First Lien,Industrials,10.2%,,SOFR,5.5%,,,879,867,870,0.1%,867,,,,BBDC,2023-05-04
Tencarva Machinery Company LLC,co_18bf440ddf7c,First Lien,Industrials,10.2%,,SOFR,5.5%,,,5417,5339,5363,0.4%,5339,,,,BBDC,2023-05-04
Tencarva Machinery Company LLC,co_18bf440ddf7c,Revolver,Industrials,10.2%,,SOFR,5.5%,,,0,-16,-11,0%,-16,,,,BBDC,2023-05-04
Terrybear Inc.,co_a4a99239dd8b,Subordinated Debt,,10%,4%,,,,,266,262,262,0%,262,,,,BBDC,2023-05-04
Terrybear Inc.,co_a4a99239dd8b,Other Equity,,,,,,,,,239,230,0%,239,,,,BBDC,2023-05-04
The Caprock Group Inc.,co_a2b1c36f5edc,First Lien,,9.2%,,SOFR,4.25%,,,836,780,794,0.1%,780,,,,BBDC,2023-05-04
The Caprock Group Inc.,co_a2b1c36f5edc,Revolver,,9.2%,,SOFR,4.25%,,,0,-11,-10,0%,-11,,,,BBDC,2023-05-04
The Caprock Group Inc.,co_a2b1c36f5edc,Subordinated Debt,,12.7%,,SOFR,7.75%,,,3424,3368,3388,0.3%,3368,,,,BBDC,2023-05-04
The Cleaver-Brooks Company Inc.,co_db022f774b2c,First Lien,,10.4%,,SOFR,5.5%,,,25909,25439,25512,2.1%,25439,,,,BBDC,2023-05-04
The Cleaver-Brooks Company Inc.,co_db022f774b2c,Revolver,,10.4%,,SOFR,5.5%,,,0,-57,-49,0%,-57,,,,BBDC,2023-05-04
The Cleaver-Brooks Company Inc.,co_db022f774b2c,Subordinated Debt,,,11%,,,,,5978,5862,5875,0.5%,5862,,,,BBDC,2023-05-04
The Hilb Group LLC,co_3f8bdd3238bb,First Lien,,10.3%,,SOFR,5.5%,,,1962,1920,1911,0.2%,1920,,,,BBDC,2023-05-04
The Hilb Group LLC,co_3f8bdd3238bb,First Lien,,10.6%,,SOFR,5.75%,,,5638,5549,5558,0.5%,5549,,,,BBDC,2023-05-04
The Hilb Group LLC,co_3f8bdd3238bb,First Lien,,10.6%,,SOFR,5.75%,,,14375,14159,14172,1.2%,14159,,,,BBDC,2023-05-04
The Octave Music Group Inc.,co_46db7bbf0413,Second Lien,Media & Entertainment,12.4%,,SOFR,7.5%,,,12522,12295,12355,1%,12295,,,,BBDC,2023-05-04
The Octave Music Group Inc.,co_46db7bbf0413,Other Equity,Media & Entertainment,,,,,,,,677,951,0.1%,677,,,,BBDC,2023-05-04
Total Safety U.S. Inc.,co_bd5d1289081f,First Lien,,11%,,SOFR,6%,,,6035,5918,5742,0.5%,5918,,,,BBDC,2023-05-04
Total Safety U.S. Inc.,co_bd5d1289081f,First Lien,,11%,5%,SOFR,6%,,,3605,3605,3605,0.3%,3605,,,,BBDC,2023-05-04
Trader Corp.,co_ecd2a30c5a57,First Lien,,11.7%,,SOFR,6.75%,,,4606,4453,4502,0.4%,4453,,,,BBDC,2023-05-04
Trader Corp.,co_ecd2a30c5a57,Revolver,,11.7%,,SOFR,6.75%,,,0,-8,-8,0%,-8,,,,BBDC,2023-05-04
Transit Technologies LLC,co_9ad1766dc9c6,First Lien,,9.3%,,SOFR,4.75%,,,6035,5993,6035,0.5%,5993,,,,BBDC,2023-05-04
Transportation Insight LLC,co_4ece447abf27,First Lien,Transportation & Logistics,9.2%,,SOFR,4.25%,,,11171,11137,11026,0.9%,11137,,,,BBDC,2023-05-04
Trident Maritime Systems Inc.,co_53cdbd7574ab,First Lien,,9.9%,,SOFR,4.75%,,,14726,14566,14548,1.2%,14566,,,,BBDC,2023-05-04
Truck-Lite Co. LLC,co_c3bdff46c222,First Lien,,11.1%,,SOFR,6.25%,,,19256,18971,18967,1.6%,18971,,,,BBDC,2023-05-04
True Religion Apparel Inc.,co_3d4abe0de3b4,Preferred Equity,Consumer & Retail,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
True Religion Apparel Inc.,co_3d4abe0de3b4,Common Equity,Consumer & Retail,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Trystar LLC,co_a633102825e9,First Lien,,9.5%,,SOFR,4.75%,,,3789,3770,3752,0.3%,3770,,,,BBDC,2023-05-04
Trystar LLC,co_a633102825e9,First Lien,,9.7%,,SOFR,5%,,,3109,3099,3078,0.3%,3099,,,,BBDC,2023-05-04
Trystar LLC,co_a633102825e9,Other Equity,,,,,,,,,481,888,0.1%,481,,,,BBDC,2023-05-04
TSM II Luxco 10 SARL Chemical & Plastics,co_b63fb30e8993,Subordinated Debt,Chemicals & Materials,,9.3%,,,,,11916,11724,11700,1%,11724,,,,BBDC,2023-05-04
TSYL Corporate Buyer Inc.,co_35c86c34d22f,First Lien,,10.4%,,SOFR,4.75%,,,637,592,595,0%,592,,,type_hint_corporate_from_name,BBDC,2023-05-04
TSYL Corporate Buyer Inc.,co_35c86c34d22f,Revolver,,10.4%,,SOFR,4.75%,,,0,-3,-3,0%,-3,,,type_hint_corporate_from_name,BBDC,2023-05-04
TSYL Corporate Buyer Inc.,co_35c86c34d22f,Other Equity,,,,,,,,,5,5,0%,5,,,type_hint_corporate_from_name,BBDC,2023-05-04
Turbo Buyer Inc.,co_8cff08261721,First Lien,,11.2%,,SOFR,6%,,,8315,8181,8170,0.7%,8181,,,,BBDC,2023-05-04
Turnberry Solutions Inc.,co_2b2eb5930e19,First Lien,,10.6%,,SOFR,5.75%,,,4962,4892,4899,0.4%,4892,,,,BBDC,2023-05-04
UKFast Leaders Limited Technology,co_157c2d87738e,First Lien,Software & Technology,4.5%,3.4%,SOFR,4.5%,,,11239,11452,9958,0.8%,11452,,,,BBDC,2023-05-04
Union Bidco Limited Healthcare,co_8be55f95dcbf,First Lien,Healthcare,10%,,SOFR,5.75%,,,906,871,853,0.1%,871,,,,BBDC,2023-05-04
United Therapy Holding III GmbH Healthcare,co_7f0492b5870c,First Lien,Healthcare,8.2%,,SOFR,5.5%,,,1772,1698,1686,0.1%,1698,,,,BBDC,2023-05-04
Unither (Uniholding) Pharma-ceuticals,co_7fda65a99fca,First Lien,Healthcare,9.2%,,SOFR,6.25%,,,2059,1950,1983,0.2%,1950,,,,BBDC,2023-05-04
USLS Acquisition Inc.,co_0c70dc30b19e,First Lien,,10.7%,,SOFR,5.75%,,,16161,16023,15488,1.3%,16023,,,,BBDC,2023-05-04
Utac Ceram Business Services,co_7f59f0df3d51,First Lien,Business Services,7.5%,,SOFR,4.5%,,,1630,1713,1584,0.1%,1713,,,,BBDC,2023-05-04
Utac Ceram Business Services,co_7f59f0df3d51,First Lien,Business Services,10.4%,,SOFR,5.25%,,,970,970,943,0.1%,970,,,,BBDC,2023-05-04
Utac Ceram Business Services,co_7f59f0df3d51,First Lien,Business Services,11.2%,,SOFR,6%,,,2547,2497,2476,0.2%,2497,,,,BBDC,2023-05-04
Validity Inc.,co_02e11047a70c,First Lien,,9.6%,,SOFR,4.75%,,,4783,4720,4716,0.4%,4720,,,,BBDC,2023-05-04
Velocity Pooling Vehicle LLC,co_c1006d15c256,Common Equity,Automotive,,,,,,,,60,2,0%,60,,,,BBDC,2023-05-04
Velocity Pooling Vehicle LLC,co_c1006d15c256,Warrants,Automotive,,,,,,,,72,3,0%,72,,,,BBDC,2023-05-04
Victoria Bidco Limited Industrial Machinery,co_d0bf85b9302c,First Lien,Industrials,9.9%,,SOFR,6.5%,,,3855,4054,3646,0.3%,4054,,,,BBDC,2023-05-04
Vision Solutions Inc.,co_0726a6464cf7,Second Lien,,12.1%,,SOFR,7.25%,,,6500,6497,5121,0.4%,6497,,,,BBDC,2023-05-04
VistaJet Pass Through Trust 2021-1B Airlines,co_09bfddc515ac,Other Equity,Transportation & Logistics,6.3%,,,,,,4286,4286,3602,0.3%,4286,,,,BBDC,2023-05-04
