company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Armstrong Transport Group (Pele Buyer LLC,co_c12aa7dc8661,First Lien,Transportation & Logistics,10%,,SOFR,5.5%,,,3966,3936,3899,0.3%,3936,,,,BBDC,2023-05-04
Armstrong Transport Group (Pele Buyer LLC,co_c12aa7dc8661,First Lien,Transportation & Logistics,9.7%,,SOFR,5.5%,,,5045,4962,4949,0.4%,4962,,,,BBDC,2023-05-04
ASC Communications LLC,co_467ba4c0f794,First Lien,,9.9%,,SOFR,5%,,,20405,20101,20141,1.7%,20101,,,,BBDC,2023-05-04
ASC Communications LLC,co_467ba4c0f794,Other Equity,,,,,,,,,539,686,0.1%,539,,,,BBDC,2023-05-04
ASPEQ Heating Group LLC,co_c92ce7aa9a26,First Lien,,9.2%,,SOFR,4.25%,,,8322,8262,8322,0.7%,8262,,,,BBDC,2023-05-04
Astra Bidco Limited Healthcare,co_e7c0e1783104,First Lien,Healthcare,9.9%,,SOFR,5.75%,,,2017,2106,1971,0.2%,2106,,,,BBDC,2023-05-04
ATL II MRO Holdings Inc.,co_810e4de06cf4,First Lien,,9.9%,,SOFR,5.5%,,,8313,8115,8146,0.7%,8115,,,,BBDC,2023-05-04
ATL II MRO Holdings Inc.,co_810e4de06cf4,Revolver,,9.9%,,SOFR,5.5%,,,0,-39,-33,0%,-39,,,,BBDC,2023-05-04
Auxi International Commercial Finance,co_9ef3dafce121,First Lien,Financial Services,8.1%,,SOFR,6.25%,,,1521,1528,1331,0.1%,1528,,,,BBDC,2023-05-04
Auxi International Commercial Finance,co_9ef3dafce121,First Lien,Financial Services,11.4%,,SOFR,7.25%,,,828,902,725,0.1%,902,,,,BBDC,2023-05-04
Avance Clinical Bidco Pty Ltd.,co_89f4a3bdf450,First Lien,Healthcare,8.3%,,SOFR,4.5%,,,2365,2421,2292,0.2%,2421,,,,BBDC,2023-05-04
Aviation Technical Services Inc.,co_76d28019775d,Second Lien,Transportation & Logistics,6.8%,6.5%,SOFR,2%,,,28978,27635,28398,2.4%,27635,,,,BBDC,2023-05-04
