company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Hotel Gaming and Leisure IRGSE Holding Corp.,First Lien,Healthcare,14.92%,,SOFR,9.65%,,2015-09-29,,,21632,21456,1.4%,21632,,,,,,TSLX,2023-08-03
Axonify Inc.,First Lien,Business Services,12.71%,,SOFR,7.65%,,2021-05-05,,,48325,48729,3.3%,48325,,,,,,TSLX,2023-08-03
bswift LLC,First Lien,Business Services,11.76%,,SOFR,6.63%,,2022-11-07,,,43337,44137,3%,43337,,,,,,TSLX,2023-08-03
Elysian Finco Ltd.,First Lien,Business Services,11.76%,,SOFR,6.65%,,2022-01-31,,,17953,18634,1.3%,17953,,,,,,TSLX,2023-08-03
Employment Hero Holdings Pty Ltd.,First Lien,Business Services,10.86%,,SOFR,6.50%,,2021-12-06,,,34749,49528,2.3%,34749,,,,,,TSLX,2023-08-03
HireVue Inc.,First Lien,Business Services,12.34%,,SOFR,7.25%,,2023-05-03,,,52368,52893,3.6%,52368,,,,,,TSLX,2023-08-03
PageUp People Ltd.,First Lien,Business Services,9.66%,,SOFR,5.50%,,2018-01-11,,,10884,14360,0.7%,10884,,,,,,TSLX,2023-08-03
PageUp People Ltd.,First Lien,Business Services,9.96%,,SOFR,5.53%,,2021-10-28,,,5153,3723,0.3%,5153,,,,,,TSLX,2023-08-03
PageUp People Ltd.,First Lien,Business Services,10.7%,,SOFR,5.60%,,2021-10-28,,,11935,11886,0.8%,11935,,,,,,TSLX,2023-08-03
PayScale Holdings Inc.,First Lien,Business Services,11.7%,,SOFR,6.60%,,2019-05-03,,,68058,67570,4.6%,68058,,,,,,TSLX,2023-08-03
PrimePay Intermediate LLC,First Lien,Business Services,12.39%,,SOFR,7.15%,,2021-12-17,,,33723,34290,2.3%,33723,,,,,,TSLX,2023-08-03
Workwell Acquisition Co.,First Lien,Business Services,12.66%,,SOFR,7.40%,,2020-10-19,,,23191,23317,1.5%,23191,,,,,,TSLX,2023-08-03
Human Resource Support Services,Other,Business Services,,,,,,,,,349676,348717,23.7%,349676,,,,,,TSLX,2023-08-03
Disco Parent Inc.,First Lien,Insurance,12.76%,,SOFR,7.50%,,2023-03-30,,,4426,4458,0.3%,4426,,,,,,TSLX,2023-08-03
Arrow Buyer Inc.,First Lien,Software & Technology,11.74%,,SOFR,6.50%,,2023-06-30,,,32202,32310,2.2%,32202,,,,,,TSLX,2023-08-03
Bayshore Intermediate #2 LP.,First Lien,Software & Technology,12.82%,12.82%,SOFR,7.60%,,2021-10-01,,,33807,33910,2.3%,33807,,,,,,TSLX,2023-08-03
Bayshore Intermediate #2 LP.,First Lien,Software & Technology,11.77%,,SOFR,6.60%,,2021-10-01,,,429,438,0%,429,,,,,,TSLX,2023-08-03
Coupa Holdings LLC,First Lien,Software & Technology,12.6%,,SOFR,7.50%,,2023-02-27,,,42048,42691,2.9%,42048,,,,,,TSLX,2023-08-03
CrunchTime Information Systems Inc.,First Lien,Software & Technology,11.09%,,SOFR,6.00%,,2022-06-17,,,58682,59202,4.1%,58682,,,,,,TSLX,2023-08-03
EDB Parent LLC,First Lien,Software & Technology,11.99%,,SOFR,6.75%,,2022-07-07,,,58950,59481,4.1%,58950,,,,,,TSLX,2023-08-03
Higher Logic LLC,First Lien,Software & Technology,11.99%,,SOFR,6.75%,,2018-06-18,,,54145,54515,3.7%,54145,,,,,,TSLX,2023-08-03
LeanTaaS Holdings Inc.,First Lien,Software & Technology,12.74%,,SOFR,7.50%,,2022-07-12,,,33079,33361,2.3%,33079,,,,,,TSLX,2023-08-03
Lithium Technologies LLC,First Lien,Software & Technology,13.08%,,SOFR,8.00%,,2017-10-03,,,54675,53469,3.7%,54675,,,,,,TSLX,2023-08-03
Lithium Technologies LLC,First Lien,Software & Technology,13.01%,,SOFR,8.00%,,2017-10-03,,,2312,2235,0.2%,2312,,,,,,TSLX,2023-08-03
Lucidworks Inc.,First Lien,Software & Technology,12.6%,3.5%,SOFR,7.50%,,2022-02-11,,,8619,8548,0.6%,8619,,,,,,TSLX,2023-08-03
Piano Software Inc.,First Lien,Software & Technology,12.2%,,SOFR,7.10%,,2021-02-25,,,50483,50450,3.4%,50483,,,,,,TSLX,2023-08-03
SMA Technologies Holdings LLC,First Lien,Software & Technology,11.85%,,SOFR,6.75%,,2022-10-31,,,35356,36189,2.5%,35356,,,,,,TSLX,2023-08-03
Internet Services,Other,Software & Technology,,,,,,,,,464787,466799,32%,464787,,,,,,TSLX,2023-08-03
Avalara Inc.,First Lien,Industrials,12.49%,,SOFR,7.25%,,2022-10-19,,,37667,37999,2.6%,37667,,,,,,TSLX,2023-08-03
Oil Gas and Consumable Fuels Laramie Energy LLC,First Lien,Energy,12.18%,,SOFR,7.10%,,2023-02-21,,,26679,26967,1.8%,26679,,,,,,TSLX,2023-08-03
Oil Gas and Consumable Fuels Murchison Oil and Gas LLC,First Lien,Energy,13.9%,,SOFR,8.65%,,2022-06-30,,,32802,33754,2.3%,32802,,,,,,TSLX,2023-08-03
