company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Neuintel LLC,co_c2c57738f8e7,First Lien,Consumer & Retail,13.03%,,SOFR,7.65%,,2021-12-20,,,56923,58134,3.9%,56923,,,,,,TSLX,2024-02-15
Rapid Data GmbH Unternehmensberatung,co_48613089e820,First Lien,Consumer & Retail,10.48%,,E,6.5%,,2023-07-11,,,4676,4393,0.3%,4676,,,,,,TSLX,2024-02-15
Tango Management Consulting LLC,co_6a605b1c6719,First Lien,Consumer & Retail,12.2%,,SOFR,6.85%,,2021-12-01,,,56247,56703,3.8%,56247,,,,,,TSLX,2024-02-15
Consumer Products,co_066f86f9e5c9,First Lien,Consumer & Retail,,,,,,,,,263928,257985,17.2%,263928,,,,,,TSLX,2024-02-15
Transportation Project44 Inc.,co_e7711ed2db6a,Other Equity,Transportation & Logistics,11.78%,,SOFR,6.4%,,2021-11-12,,,34139,35001,2.3%,34139,,,,,,TSLX,2024-02-15
Transportation Marcura Equities Ltd.,co_558d935621cd,Other Equity,Transportation & Logistics,12.18%,,SOFR,7%,,2023-08-11,,,31020,31482,2.1%,31020,,,,,,TSLX,2024-02-15
Transportation First-lien revolving loan,co_94fd3acc6fb2,Other Equity,Transportation & Logistics,12.18%,,SOFR,7%,,2023-08-11,,,1589,1625,0.1%,1589,,,,,,TSLX,2024-02-15
Debt Investments,co_defe11bfc88e,Other,Transportation & Logistics,,,,,,,,,66748,68108,4.5%,66748,,,,,,TSLX,2024-02-15
Debt Investments,co_defe11bfc88e,Other,Financial Services,,,,,,,,,3045524,3071623,2.05%,3045524,,,,,,TSLX,2024-02-15
Artisan Topco LP,co_cff3cd6b4538,Other Equity,Business Services,,,,,,2023-11-07,,,2117,2117,0.1%,2117,,,,2117264,,TSLX,2024-02-15
Newark FP Co-Invest,co_c7f3cf20285a,Other Equity,Business Services,,,,,,2023-11-08,,,2532,2532,0.2%,2532,,,,2527719,,TSLX,2024-02-15
