company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
ACProducts Inc.,First Lien,Construction & Engineering,4.91%,,LIBOR,550,2024-02-15,2024-02-15,4906,,,,4693,,,CION,2020-11-16
Adams Publishing Group LLC,First Lien,Media & Entertainment,7.50%,,LIBOR,750,2023-07-02,2023-07-02,13353,,,,13245,,,CION,2020-11-16
Adams Publishing Group LLC,Unfunded Commitment,Media & Entertainment,,,,,,2020-07-02,1600,,,,,,,CION,2020-11-16
Adapt Laser Acquisition Inc.,First Lien,Other,8.00%,,LIBOR,800,2023-12-31,2023-12-31,11640,,,,11640,,,CION,2020-11-16
Adapt Laser Acquisition Inc.,Unfunded Commitment,Other,,,,,,2023-12-31,2000,,,,,,,CION,2020-11-16
Aegis Toxicology Sciences Corp.,First Lien,Pharmaceuticals & Biotechnology,5.50%,,LIBOR,550,2025-05-09,2025-05-09,9875,,,,9706,,,CION,2020-11-16
AIS Holdco LLC,First Lien,Financial Services,5.00%,,LIBOR,500,2025-08-15,2025-08-15,5382,,,,5322,,,CION,2020-11-16
Alchemy US Holdco 1 LLC,First Lien,Construction & Engineering,5.50%,,LIBOR,550,2025-10-10,2025-10-10,7800,,,,7697,,,CION,2020-11-16
Allen Media Broadcasting LLC,First Lien,Media & Entertainment,6.25%,,LIBOR,625,2024-07-03,2024-07-03,24688,,,,24070,,,CION,2020-11-16
Allen Media LLC,First Lien,Media & Entertainment,6.50%,,LIBOR,650,2023-08-30,2023-08-30,67124,,,,65820,,,CION,2020-11-16
ALM Media LLC,First Lien,Media & Entertainment,6.50%,,LIBOR,650,2024-11-25,2024-11-25,20000,,,,19607,,,CION,2020-11-16
AMCP Staffing Intermediate Holdings III LLC,First Lien,Business Services,6.75%,,LIBOR,675,2025-09-24,2025-09-24,10000,,,,9943,,,CION,2020-11-16
AMCP Staffing Intermediate Holdings III LLC,First Lien,Business Services,6.75%,,LIBOR,675,2025-09-24,2025-09-24,539,,,,539,,,CION,2020-11-16
AMCP Staffing Intermediate Holdings III LLC,Unfunded Commitment,Business Services,,,,,,2025-09-24,1059,,,,,,,CION,2020-11-16
American Clinical Solutions LLC,Other Debt,Pharmaceuticals & Biotechnology,7.00%,,N/A,,2022-12-31,2022-12-31,3500,,,,3395,,,CION,2020-11-16
American Clinical Solutions LLC,Other Debt,Pharmaceuticals & Biotechnology,2.00%,,N/A,,2022-12-31,2022-12-31,6000,,,,4192,,,CION,2020-11-16
American Media LLC,First Lien,Media & Entertainment,7.75%,,LIBOR,775,2023-12-31,2023-12-31,15471,,,,15146,,,CION,2020-11-16
American Media LLC,First Lien,Media & Entertainment,10.50%,,LIBOR,750,2023-12-31,2023-12-31,1574,1578,1578,,,,,CION,2020-11-16
American Media LLC,Unfunded Commitment,Media & Entertainment,,,,,,2023-12-31,128,,,,,,,CION,2020-11-16
American Teleconferencing Services Ltd.,First Lien,Telecommunications,6.50%,,LIBOR,650,2021-12-08,2021-12-08,19549,,,,18570,,,CION,2020-11-16
Analogic Corp.,First Lien,Pharmaceuticals & Biotechnology,6.00%,,LIBOR,600,2024-06-21,2024-06-21,24321,,,,23928,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,First Lien,Media & Entertainment,9.50%,,LIBOR,950,2024-09-09,2024-09-09,12624,,,,12470,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,First Lien,Media & Entertainment,10.50%,,LIBOR,950,2024-09-09,2024-09-09,833,833,833,,,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,Unfunded Commitment,Media & Entertainment,,,,,,2024-09-09,1333,,,,,,,CION,2020-11-16
APC Automotive Technologies LLC,First Lien,Automotive,5.00%,,LIBOR,500,2025-05-10,2025-05-10,8892,,,,8551,,,CION,2020-11-16
APC Automotive Technologies LLC,First Lien,Automotive,5.00%,,LIBOR,500,2024-05-10,2024-05-10,2780,,,,2624,,,CION,2020-11-16
APCO Holdings LLC,First Lien,Financial Services,5.50%,,LIBOR,550,2025-06-09,2025-06-09,10827,,,,10735,,,CION,2020-11-16
1244311 B.C. LTD.,First Lien,Chemicals,8.00%,,LIBOR,500,2025-09-30,,2422,755,,,,,,CION,2020-11-16
Adams Publishing Group LLC,First Lien,Media & Entertainment,9.50%,,LIBOR,700,2023-07-02,,12778,12694,,,,,,CION,2020-11-16
Adapt Laser Acquisition Inc.,First Lien,Other,9.00%,,LIBOR,800,2023-12-31,,11370,11370,,,,,,CION,2020-11-16
