company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Clinical Innovations LLC,First Lien,Pharmaceuticals & Biotechnology,,,,,,,,,10972,10782,11000,,,BCSF,2019-08-07
CB Titan Holdings Inc.,Preferred Equity,Pharmaceuticals & Biotechnology,,,,,,,1953,1953,2480,,,,,BCSF,2019-08-07
CPS Group Holdings Inc.,Revolver,Pharmaceuticals & Biotechnology,,,N/A,,,,,,,,,,,BCSF,2019-08-07
Park Place Technologies,First Lien,Software,8.5%,,N/A,4.00%,,2025-03-31,10324,10293,10118,6.52,,,,BCSF,2019-08-07
nThrive Inc.,Second Lien,Pharmaceuticals & Biotechnology,9.75%,,N/A,9.75%,,2023-04-20,8000,7982,7760,12.27,,,,BCSF,2019-08-07
Qlik Technologies,First Lien,Software,3.50%,,N/A,3.50%,,2024-04-26,22725,22666,22015,5.94,,,,BCSF,2019-08-07
SolarWinds Holdings Inc.,First Lien,Software,2.75%,,N/A,2.75%,,2024-02-05,14763,14845,14228,5.27,,,,BCSF,2019-08-07
VPARK BIDCO AB,First Lien,Software,5.00%,,N/A,5.00%,,2025-03-08,56999,9134,8743,5.75,,,,BCSF,2019-08-07
VPARK BIDCO AB,First Lien,Software,5.00%,,N/A,5.00%,,2025-03-08,74020,9174,8558,6.28,,,,BCSF,2019-08-07
Zywave Inc.,Revolver,Software,5.00%,,N/A,5.00%,,2022-11-17,767,755,767,7.52,,,,BCSF,2019-08-07
Zywave Inc.,First Lien,Software,5.00%,,N/A,5.00%,,2022-11-17,17549,17458,17549,7.52,,,,BCSF,2019-08-07
Aimbridge Hospitality LP,First Lien,Hotels & Leisure,5.00%,,N/A,5.00%,,2022-06-22,4264,4206,4264,7.52,,,,BCSF,2019-08-07
Aimbridge Hospitality LP,Revolver,Hotels & Leisure,,,N/A,,,,,,,,,,,BCSF,2019-08-07
Aimbridge Hospitality LP,First Lien,Hotels & Leisure,5.00%,,N/A,5.00%,,2022-06-22,25584,25251,25584,7.52,,,,BCSF,2019-08-07
Captain D's LLC,Revolver,Food & Beverage,4.50%,,N/A,4.50%,,2023-12-15,788,773,756,8.15,,,,BCSF,2019-08-07
Captain D's LLC,First Lien,Food & Beverage,4.50%,,N/A,4.50%,,2023-12-15,13389,13269,13154,7.30,,,,BCSF,2019-08-07
K-Mac Holdings Corp.,Second Lien,Food & Beverage,6.75%,,N/A,6.75%,,2026-03-16,3200,3193,3024,9.25,,,,BCSF,2019-08-07
NPC International Inc.,Second Lien,Food & Beverage,7.50%,,N/A,7.50%,,2025-04-18,9159,9194,8655,10.02,,,,BCSF,2019-08-07
Quidditch Acquisition Inc.,First Lien,Food & Beverage,7.00%,,N/A,7.00%,,2025-03-21,15903,15859,15824,9.47,,,,BCSF,2019-08-07
Tacala Investment Corp.,Second Lien,Food & Beverage,7.00%,,N/A,7.00%,,2026-01-30,6323,6306,6039,9.52,,,,BCSF,2019-08-07
Tacala Investment Corp.,First Lien,Food & Beverage,3.25%,,N/A,3.25%,,2025-01-31,3504,3451,3383,5.77,,,,BCSF,2019-08-07
Ansira Holdings Inc.,Revolver,Business Services,4.00%,,N/A,4.00%,,2022-12-20,1643,1643,1643,9.50,,,,BCSF,2019-08-07
Cambium Learning Group Inc.,First Lien,Education,4.50%,,N/A,4.50%,,2025-12-18,12325,11709,11771,7.02,,,,BCSF,2019-08-07
