company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Point Broadband Acquisition LLC,co_88ac0c5a847c,First Lien,,10.98%,,SOFR,6%,,,,34523,33798,33947,0.81%,33798,,,,,,BXSL,2023-05-10
Qualus Power Services Corp.,co_f365b7ba3405,First Lien,Business Services,10.24%,,SOFR,5.25%,,,,33377,32787,32975,0.79%,32787,,,,,,BXSL,2023-05-10
Emergency Power Holdings LLC,co_2dd16c5b08f3,First Lien,,10.5%,,SOFR,5.5%,,,,44338,43513,43375,1.04%,43513,,,,,,BXSL,2023-05-10
Relay Purchaser LLC,co_587a294bb293,First Lien,,11.21%,,SOFR,6%,,,,34550,33966,34478,0.82%,33966,,,,,,BXSL,2023-05-10
Shoals Holdings LLC,co_5c60ec63fd97,First Lien,,10.59%,,SOFR,5.75%,,,,83290,82000,83706,2%,82000,,,,,,BXSL,2023-05-10
Albireo Energy LLC,co_c4b45f8d357e,First Lien,Energy,10.88%,,SOFR,6%,,,,6376,6329,5834,0.14%,6329,,,,,,BXSL,2023-05-10
Albireo Energy LLC,co_c4b45f8d357e,First Lien,Energy,11.13%,,SOFR,6%,,,,102387,101177,93684,2.24%,101177,,,,,,BXSL,2023-05-10
CPI Intermediate Holdings Inc.,co_a6eb13ec85dc,First Lien,Media & Entertainment,10.19%,,SOFR,5.5%,,,,4034,3945,3984,0.1%,3945,,,,,,BXSL,2023-05-10
Abaco Energy Technologies LLC,co_7c8ce8cb9dfb,First Lien,Energy,11.71%,,SOFR,7%,,,,28573,28318,28573,0.68%,28318,,,,,,BXSL,2023-05-10
ISQ Hawkeye Holdco Inc.,co_bc75cb14f0a0,First Lien,,11.06%,,SOFR,6.25%,,,,727,710,716,0.02%,710,,,,,,BXSL,2023-05-10
ISQ Hawkeye Holdco Inc.,co_bc75cb14f0a0,First Lien,,13.25%,,SOFR,5.25%,,,,39,37,38,0%,37,,,,,,BXSL,2023-05-10
ISQ Hawkeye Holdco Inc.,co_bc75cb14f0a0,First Lien,,11%,,SOFR,6.25%,,,,179,174,176,0%,174,,,,,,BXSL,2023-05-10
Tetra Technologies Inc.,co_d7a0c30d5267,First Lien,,11.09%,,SOFR,6.25%,,,,17790,17741,17790,0.42%,17741,,,,,,BXSL,2023-05-10
CPI Buyer LLC,co_33943775fadc,First Lien,,10.65%,,SOFR,5.5%,,,,28278,27827,27288,0.65%,27827,,,,,,BXSL,2023-05-10
CPI Buyer LLC,co_33943775fadc,First Lien,,10.67%,,SOFR,5.5%,,,,3017,2870,2781,0.07%,2870,,,,,,BXSL,2023-05-10
GCX Corp.,co_ef1cdc2c06e6,First Lien,,10.28%,,SOFR,5.5%,,,,21670,21332,21237,0.51%,21332,,,,,,BXSL,2023-05-10
GCX Corp.,co_ef1cdc2c06e6,First Lien,,10.2%,,SOFR,5.5%,,,,5500,5399,5370,0.13%,5399,,,,,,BXSL,2023-05-10
123Dentist Inc.,co_5db14535c874,First Lien,,10.42%,,SOFR,5.75%,,,,1717,1262,1140,0.03%,1262,,,,,,BXSL,2023-05-10
ACI Group Holdings Inc.,co_12ac7682544d,First Lien,,10.59%,1.25%,SOFR,5.75%,,,,106696,104705,104567,2.5%,104705,,,,,,BXSL,2023-05-10
ADCS Clinics Intermediate Holdings LLC,co_dea06e88a294,First Lien,Media & Entertainment,11.43%,,SOFR,6.5%,,,,6895,6784,6765,0.16%,6784,,,,,,BXSL,2023-05-10
ADCS Clinics Intermediate Holdings LLC,co_dea06e88a294,First Lien,Media & Entertainment,11.75%,,SOFR,6.5%,,,,1654,1630,1624,0.04%,1630,,,,,,BXSL,2023-05-10
Amerivet Partners Management Inc.,co_8250e61a6bff,First Lien,Business Services,10.55%,,SOFR,5.5%,,,,5910,5783,5624,0.13%,5783,,,,,,BXSL,2023-05-10
Canadian Hospital Specialties Ltd.,co_48759271b1dc,First Lien,Healthcare,9.52%,,SOFR,4.5%,,,,29861,21556,22740,0.54%,21556,,,,,,BXSL,2023-05-10
Canadian Hospital Specialties Ltd.,co_48759271b1dc,First Lien,Healthcare,9.95%,,SOFR,4.86%,,,,2684,1753,1547,0.04%,1753,,,,,,BXSL,2023-05-10
CCBlue Bidco Inc.,co_2af3342a144f,First Lien,,8.66%,2.75%,SOFR,3.5%,,,,9972,9814,9249,0.22%,9814,,,,,,BXSL,2023-05-10
CCBlue Bidco Inc.,co_2af3342a144f,First Lien,,7.33%,2.75%,SOFR,3.5%,,,,515,500,464,0.01%,500,,,,,,BXSL,2023-05-10
Cross Country Healthcare Inc.,co_93b5af9a01ab,First Lien,Healthcare,10.59%,,SOFR,5.75%,,,,6582,6459,6582,0.16%,6459,,,,,,BXSL,2023-05-10
DCA Investment Holdings LLC,co_188bd5058a84,First Lien,Financial Services,11.3%,,SOFR,6.41%,,,,33134,32844,31974,0.76%,32844,,,,,,BXSL,2023-05-10
DCA Investment Holdings LLC,co_188bd5058a84,First Lien,Financial Services,11.46%,,SOFR,6.5%,,,,264,260,243,0.01%,260,,,,,,BXSL,2023-05-10
Epoch Acquisition Inc.,co_7d8b24a4a433,First Lien,,10.78%,,SOFR,6%,,,,24244,24159,24123,0.58%,24159,,,,,,BXSL,2023-05-10
