company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
SS Acquisition LLC,co_5ed399aaef6f,First Lien,Other,12.27%,,SOFR,6.76%,,,,3042,3022,3042,1.8%,3022,,,,,,OFS,2023-11-03
SS Acquisition LLC,co_5ed399aaef6f,Delayed Draw,Other,13.03%,,SOFR,7.59%,,,,1460,1449,1460,0.9%,1449,,,,,,OFS,2023-11-03
Staples Inc.,co_18c4137f2a28,First Lien,,10.63%,,SOFR,5%,,,,2877,2845,2475,1.5%,2845,,,,,,OFS,2023-11-03
STS Operating Inc.,co_8322fe7452c9,First Lien,,13.42%,,SOFR,8%,,,,9073,9072,9073,5.3%,9072,,,,,,OFS,2023-11-03
The Escape Game LLC,co_6414a54a60c8,First Lien,Financial Services,12.42%,,SOFR,7%,,,,21000,20932,21210,12.4%,20932,,,,,,OFS,2023-11-03
The Escape Game LLC,co_6414a54a60c8,Revolver,Financial Services,12.42%,,SOFR,7%,,,,2800,2781,2800,1.6%,2781,,,,,,OFS,2023-11-03
Tolemar Acquisition Inc.,co_a4097ce99da6,First Lien,Financial Services,11.75%,,SOFR,6%,,,,15386,15343,14495,8.5%,15343,,,,,,OFS,2023-11-03
Tolemar Acquisition Inc.,co_a4097ce99da6,Revolver,Financial Services,11.75%,,SOFR,6%,,,,592,584,443,0.3%,584,,,,,,OFS,2023-11-03
TruGreen LP,co_2094298d8fe3,First Lien,,14.13%,,SOFR,8.5%,,,,4500,4596,4410,2.6%,4596,,,,,,OFS,2023-11-03
United Biologics Holdings LLC,co_a3265dcc9633,Preferred Equity,,,,,,,,,,9,20,0%,9,,,,4701,,OFS,2023-11-03
Wllful Inc.,co_0a092f1b3f90,First Lien,,11.68%,,SOFR,6.25%,,,,6650,6622,6337,3.7%,6622,,,,,,OFS,2023-11-03
Apex Credit CLO 2020 Ltd.,co_b494b326fac6,Subordinated Debt,,21.91%,,,,,,,11080,10251,7608,4.5%,10251,,,,,,OFS,2023-11-03
Apex Credit CLO 2021 Ltd.,co_7a3e08d03aa1,Subordinated Debt,,19.97%,,,,,,,8630,7080,5781,3.4%,7080,,,,,,OFS,2023-11-03
Apex Credit CLO 2022-1A,co_7a3e08d03aa1,Subordinated Debt,,16.16%,,,,,,,10726,8862,7145,4.2%,8862,,,,,,OFS,2023-11-03
Ares L CLO,co_fe89ffe63091,Subordinated Debt,,11.07%,,SOFR,5.5%,,,,6000,5811,5488,3.2%,5811,,,,,,OFS,2023-11-03
Barings CLO 2019-I Ltd.,co_8f838e200efb,Subordinated Debt,,12.43%,,SOFR,6.86%,,,,8000,7913,7726,4.5%,7913,,,,,,OFS,2023-11-03
Battalion CLO XI Ltd.,co_50027ec3e048,Subordinated Debt,,12.46%,,SOFR,6.85%,,,,6000,5902,5650,3.3%,5902,,,,,,OFS,2023-11-03
Brightwood Capital MM CLO 2023-1A Ltd.,co_2e688baa6034,Subordinated Debt,,11.85%,,SOFR,6.46%,,,,915,887,887,0.5%,887,,,,,,OFS,2023-11-03
Brightwood Capital MM CLO 2023-1A Ltd.,co_2e688baa6034,Subordinated Debt,,15.75%,,SOFR,10.36%,,,,2133,1920,1920,1.1%,1920,,,,,,OFS,2023-11-03
Brightwood Capital MM CLO 2023-1A Ltd.,co_2e688baa6034,Subordinated Debt,,14.56%,,,,,,,5494,4840,4840,2.8%,4840,,,,,,OFS,2023-11-03
Dryden 53 CLO Ltd.,co_1a29aa4b53e0,Subordinated Debt,,12.54%,,,,,,,2700,1393,698,0.4%,1393,,,,,,OFS,2023-11-03
Dryden 53 CLO Ltd.,co_1a29aa4b53e0,Subordinated Debt,,14.56%,,,,,,,2159,1087,558,0.3%,1087,,,,,,OFS,2023-11-03
Dryden 76 CLO Ltd.,co_c55c2da0f169,Subordinated Debt,,17.88%,,,,,,,2750,2339,1837,1.1%,2339,,,,,,OFS,2023-11-03
Elevation CLO 2017-7 Ltd.,co_12aa0889cd50,Subordinated Debt,,0%,,,,,,,5438,1300,97,0.1%,1300,,,,,fair_value_suspicious_vs_size,OFS,2023-11-03
Flatiron CLO 18 Ltd.,co_a50cb7b29ed1,Subordinated Debt,,10.36%,,,,,,,9680,6586,5234,3.1%,6586,,,,,,OFS,2023-11-03
Madison Park Funding XXIII Ltd.,co_c77297f29eb9,Subordinated Debt,,24.2%,,,,,,,10000,5816,5168,3%,5816,,,,,,OFS,2023-11-03
Madison Park Funding XXIX Ltd.,co_c77297f29eb9,Subordinated Debt,,20.7%,,,,,,,9500,6139,5820,3.4%,6139,,,,,,OFS,2023-11-03
Monroe Capital MML CLO X Ltd.,co_23f571e4c511,Subordinated Debt,,14.13%,,SOFR,8.75%,,,,1000,957,936,0.5%,957,,,,,,OFS,2023-11-03
Octagon Investment Partners 39 Ltd.,co_d105f9545d12,Subordinated Debt,Financial Services,10.72%,,,,,,,7000,4186,2369,1.4%,4186,,,,,,OFS,2023-11-03
Park Avenue Institutional Advisers CLO Ltd.,co_affc1cd5dcd2,Subordinated Debt,,12.89%,,SOFR,7.3%,,,,1000,981,976,0.6%,981,,,,,,OFS,2023-11-03
Redding Ridge 4,co_3f3d8516c759,Subordinated Debt,,9.47%,,,,,,,1300,959,567,0.3%,959,,,,,,OFS,2023-11-03
Regatta II Funding,co_06d55afb8647,Subordinated Debt,,12.52%,,SOFR,6.95%,,,,800,800,771,0.5%,800,,,,,,OFS,2023-11-03
Regatta XXII Funding Ltd.,co_dea9d86766c4,Subordinated Debt,,12.52%,,SOFR,7.19%,,,,3000,2973,3055,1.8%,2973,,,,,,OFS,2023-11-03
THL Credit Wind River 2019‐3 CLO Ltd.,co_f5c5bcbd5a1b,Subordinated Debt,,10.4%,,,,,,,7000,5053,3206,1.9%,5053,,,,,,OFS,2023-11-03
Trinitas CLO VIII,co_977598bc6e6c,Subordinated Debt,,10.59%,,,,,,,5200,3040,1692,1%,3040,,,,,,OFS,2023-11-03
Venture 45 CLO Ltd.,co_9b2904204ebf,Subordinated Debt,,13.03%,,SOFR,7.7%,,,,3000,2939,2900,1.7%,2939,,,,,,OFS,2023-11-03
Wellfleet CLO 2018-2,co_623ba8195bcb,Subordinated Debt,Transportation & Logistics,8.56%,,,,,,,1000,650,359,0.2%,650,,,,,,OFS,2023-11-03
Contract Datascan Holdings Inc.,co_c1b5d1a291ac,Preferred Equity,Financial Services,,10%,,,,,,,7049,8748,5.1%,7049,,,,3061,,OFS,2023-11-03
Contract Datascan Holdings Inc.,co_c1b5d1a291ac,Common Equity,Financial Services,,,,,,,,,104,1969,1.2%,104,,,,11273,,OFS,2023-11-03
DRS Imaging Services LLC,co_656434079aa6,Common Equity,Financial Services,,,,,,,,,1135,358,0.2%,1135,,,,1135,,OFS,2023-11-03
Master Cutlery LLC,co_63a2be1e4946,First Lien,,,13%,,,,,,9442,4680,100,0.1%,4680,,,,,fair_value_suspicious_vs_size,OFS,2023-11-03
Master Cutlery LLC,co_63a2be1e4946,Preferred Equity,Other,,8%,,,,,,,3483,0,0%,3483,,,,3723,,OFS,2023-11-03
Master Cutlery LLC,co_63a2be1e4946,Common Equity,Other,,,,,,,,,0,0,0%,0,,,,15564,,OFS,2023-11-03
Pfanstiehl Holdings Inc.,co_bdf1a983af8a,Common Equity,Financial Services,,,,,,,,,217,,45.2%,217,,,,400,,OFS,2023-11-03
TalentSmart Holdings LLC,co_57a19cd653aa,Common Equity,Financial Services,,,,,,,,,1595,648,0.4%,1595,,,,1595238,,OFS,2023-11-03
TRS Services LLC,co_84833419ce4f,Preferred Equity,Financial Services,,11%,,,,,,,70,2537,1.5%,70,,,,1937191,cost_suspicious_vs_size,OFS,2023-11-03
TRS Services LLC,co_84833419ce4f,Common Equity,Financial Services,,,,,,,,,572,0,0%,572,,,,3000000,,OFS,2023-11-03
Eblens Holdings,co_42b127775b16,Subordinated Debt,Financial Services,,,,,,,,,,0,,,,,,,,OFS,2023-11-03
Eblens Holdings,co_42b127775b16,Common Equity,Financial Services,,,,,,,,,,0,,,,,,,,OFS,2023-11-03
DRF Imaging Services,co_f6ccb430df30,Common Equity,Business Services,,,,,,,,,,358,,,,,,,,OFS,2023-11-03
