company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Tribune Media Company,First Lien,Media & Entertainment,4.57%,,N/A,300,,2020-12-01,155650,156110,,,,,,CCAP,2018-05-11
Vivid Seats Ltd.,Second Lien,Media & Entertainment,10.32%,,N/A,875,,2025-06-01,2500000,2359918,,,,,,CCAP,2018-05-11
DTZ U.S. Borrower LLC,Second Lien,Real Estate,9.63%,,N/A,825,,2022-11-01,425532,420617,,,,,,CCAP,2018-05-11
Academy Ltd.,First Lien,Retail,5.57%,,N/A,400,,2022-07-01,920172,923909,,,,,,CCAP,2018-05-11
Petco Animal Supplies Inc.,First Lien,Retail,4.38%,,N/A,300,,2023-01-01,163750,161376,,,,,,CCAP,2018-05-11
Strategic Partners Inc.,First Lien,Retail,6.07%,,N/A,450,,2023-06-01,6435122,6421364,,,,,,CCAP,2018-05-11
Ansira Partners Inc.,First Lien,Software,8.19%,,N/A,650,,2022-12-01,6480000,6424409,,,,,,CCAP,2018-05-11
Ansira Partners Inc.3,First Lien,Software,8.19%,,N/A,650,,2022-12-01,526850,518968,,,,,,CCAP,2018-05-11
C-4Analytics LLC,First Lien,Software,6.60%,,N/A,525,,2023-08-01,10523625,10348612,,,,,,CCAP,2018-05-11
C-4Analytics LLC34,First Lien,Software,,,,,,,,,,,9867,,,CCAP,2018-05-11
Epicor Software Corp.,First Lien,Software,5.32%,,N/A,375,,2022-06-01,968400,969651,,,,,,CCAP,2018-05-11
Informatica Corp.,First Lien,Software,5.19%,,N/A,350,,2022-08-01,819327,820167,,,,,,CCAP,2018-05-11
Mediaocean LLC,First Lien,Software,5.82%,,N/A,425,,2022-08-01,8457689,8402969,,,,,,CCAP,2018-05-11
Merrill Communications LLC,First Lien,Software,6.63%,,N/A,525,,2022-06-01,874992,877258,,,,,,CCAP,2018-05-11
Ministry Brands Intermediate LLC,First Lien,Software,6.38%,,N/A,500,,2022-12-01,406144,401553,,,,,,CCAP,2018-05-11
List Partners Inc.,First Lien,Other,,,,,,,,,,45000,45000,36424,0.06,CCAP,2018-05-11
Mediaocean LLC,First Lien,Other,,,,,,,,,,8441354,8441354,8389341,13.5,CCAP,2018-05-11
Merrill Communications LLC,First Lien,Other,,,,,,,,,,874992,874992,877147,1.41,CCAP,2018-05-11
Ministry Brands Intermediate LLC,First Lien,Other,,,,,,,,,,1118700,1118700,1109989,1.78,CCAP,2018-05-11
SMS Systems Maintenance Services Inc.,Second Lien,Other,,,,,,,,,,4703478,4703478,4566520,7.34,CCAP,2018-05-11
Transportation Insight LLC,First Lien,Other,,,,,,,,,,2108916,2108916,2097456,3.37,CCAP,2018-05-11
Zoom Information Inc.,First Lien,Other,,,,,,,,,,9000000,9000000,8784758,14.14,CCAP,2018-05-11
Onvoy LLC,Second Lien,Other,,,,,,,,,,2635052,2635052,2520841,4.04,CCAP,2018-05-11
Pilot Air Freight LLC,First Lien,Other,,,,,,,,,,248000,248000,248000,0.4,CCAP,2018-05-11
