company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Tilson Technology Management Inc.,co_04ab71fb578c,Other,Software & Technology,,,,,,,,,3100,11500,,3100,,,,,,RAND,2025-03-10
ITA Acquisition LLC,co_0a929a15303f,First Lien,,,,,,,2021-06-22,,,3244,1643,3.8%,3244,,,,,,RAND,2025-03-10
ITA Acquisition LLC,co_0a929a15303f,First Lien,,,,,,,2021-06-22,,,1821,857,,1821,,,,,,RAND,2025-03-10
ITA Acquisition LLC,co_0a929a15303f,Common Equity,,,,,,,2021-06-22,,,1124,,,1124,,,,,,RAND,2025-03-10
ITA Acquisition LLC,co_0a929a15303f,Other,,,,,,,,,,6189,2500,,6189,,,,,,RAND,2025-03-10
BMP Food Service Supply Holdco LLC,co_081ee2425789,First Lien,Food & Beverage,,3%,,,,,2027-11-22,,,6538,,,,,,,,RAND,2025-03-10
BMP Swanson Holdco LLC,co_6d3b5b8e0715,First Lien,,12%,,,,,,2028-05-31,,,1700,,,,,,,,RAND,2025-03-10
DSD Operating LLC,co_98ec730a6da4,First Lien,,12%,2%,,,,,,,,,,,,,,,,RAND,2025-03-10
Inter-National Electronic Alloys LLC,co_710303987285,First Lien,Software & Technology,12%,2%,,,,,2028-04-04,3288,,3372,,,,,,,,RAND,2025-03-10
Mobile RN Holdings LLC,co_5e3b18176e3c,First Lien,,14%,1%,,,,,2029-10-02,2500,,2506,,,,,,,,RAND,2025-03-10
Pressure Pro Inc.,co_8cb3fd97beec,First Lien,,12%,3%,,,,,2028-01-19,3000,,1703,,,,,,,,RAND,2025-03-10
SciAps Inc.,co_5946973dd3f7,Subordinated Debt,,12%,,,,,,2024-08-20,2090,,2090,,,,,,,,RAND,2025-03-10
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,,2026-01-19,6099,,6168,,,,,,,,RAND,2025-03-10
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,,2026-01-19,1435,,1511,,,,,,,,RAND,2025-03-10
Non-Control/Non-Affiliate Investments - Net assets,co_14e5779729a7,Other,Financial Services,,,,,,,,,,,25.5%,,,,,,,RAND,2025-03-10
Affiliate Investments – Net assets,co_8332bfa03f20,Other,Financial Services,,,,,,,,,,,79.1%,,,,,,,RAND,2025-03-10
