company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
Sparq Holdings Inc,First Lien Senior Secured,High Tech Industries,,10.03%,SF,5.75,2023-06-16,2029-06-15,985,,961,,,,
Sparq Holdings Inc,First Lien Senior Secured,High Tech Industries,,10.08%,SF,5.75,2024-06-27,2029-06-25,216,,214,,,,
Sparq Holdings Inc (Delayed Draw),First Lien Senior Secured,High Tech Industries,,10.03%,SF,5.75,2024-06-27,2029-06-25,289,,,,,,
Sparq Holdings Inc,First Lien Senior Secured,High Tech Industries,,10.08%,SF,5.75,2023-06-16,2029-06-15,221,,221,,,,
Sparq Holdings Inc (Revolver),First Lien Senior Secured,High Tech Industries,,10.08%,SF,5.75,2023-06-16,2029-06-15,205,,20,,,,
Destination Media Inc,First Lien Senior Secured,Media Advertising Printing & Publishing,,11.03%,SF,6.75,2023-06-21,2028-06-21,985,,957,,,,
Destination Media Inc,First Lien Senior Secured,Media Advertising Printing & Publishing,,10.97%,SF,6.65,2023-06-21,2028-06-21,227,,227,,,,
Aras Corporation,First Lien Senior Secured,Services: Business,,9.58%,SF,5.25,2021-04-13,2029-04-13,2446,,2438,,,,
Aras Corporation (Revolver),First Lien Senior Secured,Services: Business,,9.00%,SF,5.00,2021-04-13,2029-04-13,335,100,100,,,,
Burroughs Inc,First Lien Senior Secured,Services: Business,11.94%,1.00%,SF,8.60,2017-12-22,2025-01-31,4964,,4964,,,,
Burroughs Inc (Revolver),First Lien Senior Secured,Services: Business,11.94%,1.00%,SF,8.60,2017-12-22,2025-01-31,1290,,1290,,,,
Cdata Software Inc,First Lien Senior Secured,Services: Business,,9.75%,SF,5.75,2024-07-18,2030-07-18,6000,5911,5911,,,,
Cdata Software Inc (Delayed Draw),First Lien Senior Secured,Services: Business,,10.57%,SF,6.25,2024-07-18,2030-07-18,556,,,,,,
Cdata Software Inc (Delayed Draw),First Lien Senior Secured,Services: Business,,9.75%,SF,5.75,2024-07-18,2030-07-18,778,306,306,,,,
Cdata Software Inc (Revolver),First Lien Senior Secured,Services: Business,,10.57%,SF,6.25,2024-07-18,2030-07-18,667,,,,,,
HS4 Acquisitionco Inc,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2019-07-09,2025-07-09,9698,,9673,,,,
HS4 Acquisitionco Inc (Revolver),First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2019-07-09,2025-07-09,817,,552,,,,
iCIMS Inc,First Lien Senior Secured,Services: Business,,10.57%,SF,6.25,2022-10-24,2028-08-18,2500,2475,2475,,,,
Kingsley Gate Partners LLC,First Lien Senior Secured,Services: Business,,11.24%,SF,6.65,2022-12-09,2028-12-11,590,,581,,,,
Kingsley Gate Partners LLC,First Lien Senior Secured,Services: Business,,11.24%,SF,6.65,2022-12-09,2028-12-11,189,,189,,,,
Kingsley Gate Partners LLC,First Lien Senior Secured,Services: Business,,11.24%,SF,6.65,2022-12-09,2028-12-11,274,,274,,,,
Kingsley Gate Partners LLC (Revolver),First Lien Senior Secured,Services: Business,,10.94%,SF,6.60,2022-12-09,2028-12-11,240,,192,,,,
