company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
MacQueen Equipment, LLC (Revolver),Senior Secured Loan,Capital Equipment,11.75%,,P,4.25%,,2028-01-07,296,,,296,,
TJC Spartech Acquisition Corp.,Senior Secured Loan,Chemicals Plastics & Rubber,9.41%,,SF,4.75%,,2028-05-05,4167,,,4167,,,
Runner Buyer INC.,Senior Secured Loan,Consumer Goods Durable,10.11%,,SF,5.61%,,2028-10-23,2910,,,2910,,,
"PH Beauty Holdings III, INC.",Senior Secured Loan,Consumer Goods Non-Durable,10.17%,,SF,5.00%,,2025-09-26,2342,,,2342,,,
Radiology Partners Inc.,Senior Secured Loan,Healthcare & Pharmaceuticals,8.28%,1.50%,SF,5.26%,,2029-01-31,4252,4252,4252,,,,
Avison Young (USA) Inc.,Senior Secured Loan,FIRE: Real Estate,6.15%,6.50%,SF,8.26%,,2029-03-12,1492,1492,1492,,,,
Avison Young (USA) Inc.,Senior Secured Loan,FIRE: Real Estate,6.15%,6.50%,SF,8.26%,,2029-03-12,510,510,510,,,,
Research Now Group Inc. and Survey Sampling International LLC,Senior Secured Loan,Media: Diversified & Production,10.29%,,SF,5.76%,,2028-10-15,4467,4467,4467,,,,
Output Services Group Inc.,Senior Secured Loan,Services: Business,11.11%,,SF,6.68%,,2028-11-30,1042,1042,1042,,,,
SIRVA Worldwide Inc.,Senior Secured Loan,Services: Business,7.52%,5.00%,SF,8.00%,,2029-08-20,1171,1171,1171,,,,
Elevate Textiles Inc. (fka International Textile Group Inc.),Common Equity,Consumer Goods: Durable,,,,,,,,,,,86,,
Avison Young (USA) Inc.,Preferred Equity,FIRE: Real Estate,12.50%,,n/a,n/a,,,2029-03-12,,,,,,
Avison Young (USA) Inc.,Common Equity,FIRE: Real Estate,,,,,,,,,,,,,
Education Corporation of America - Series G Preferred Stock (8333 shares),Preferred Equity,Services: Consumer,12.00%,,n/a,n/a,2015-09-03,,,7492,7492,7492,,,
Express Wash Acquisition Company LLC (31 Class A common units),Common Equity,Services: Consumer,8.00%,,n/a,n/a,2023-11-15,,,31,31,31,,,
Express Wash Acquisition Company LLC (36.8 Class A-1 preferred units),Preferred Equity,Services: Consumer,,,,,,2025-04-10,,,,,,,37
IDIG Parent LLC (43404 Class X common units),Common Equity,Services: Consumer,,,,,,2025-06-23,,,,,,,26
Nearly Natural Inc. (152174 Class A units),Common Equity,Wholesale,,,,,,2017-12-15,,,,,,,152
Nearly Natural Inc. (61087 Class AA units),Common Equity,Wholesale,,,,,,2021-08-27,,,,,,,61
Nearly Natural Inc. (62034 Class AAA units),Common Equity,Wholesale,,,,,,2024-08-05,,,,,,,62
Attom Intermediate Holdco LLC,First Lien Senior Secured,Media: Diversified & Production,,10.46,SF,6.11,2019-01-04,2025-07-03,1880,,1875,,,,
Attom Intermediate Holdco LLC,First Lien Senior Secured,Media: Diversified & Production,,10.46,SF,6.11,2020-06-25,2025-07-03,458,,458,,,,
Attom Intermediate Holdco LLC,First Lien Senior Secured,Media: Diversified & Production,,10.46,SF,6.11,2021-07-01,2025-07-03,270,,268,,,,
Attom Intermediate Holdco LLC,First Lien Senior Secured,Media: Diversified & Production,,10.46,SF,6.11,2022-08-04,2025-07-03,780,,780,,,,
Attom Intermediate Holdco LLC,First Lien Senior Secured,Media: Diversified & Production,,10.46,SF,6.11,2022-12-22,2025-07-03,394,,391,,,,
Attom Intermediate Holdco LLC,Revolver,Media: Diversified & Production,,10.46,SF,6.11,2019-01-04,2025-07-03,320,,320,,,,
Bonterra LLC,First Lien Senior Secured,Media: Diversified & Production,,11.33,SF,7.00,2021-09-08,2027-09-08,13437,,13339,,,,
Bonterra LLC,Second Lien,Media: Diversified & Production,12.08,7.75,SF,7.75,2023-09-28,2027-09-08,2244,,2223,,,,
Bonterra LLC,Revolver,Media: Diversified & Production,,11.33,SF,7.00,2021-09-08,2027-09-08,1069,,684,,,,
Chess.com LLC,First Lien Senior Secured,Media: Diversified & Production,,10.92,SF,6.60,2021-12-31,2027-12-31,5835,,5767,,,,
Chess.com LLC,Revolver,Media: Diversified & Production,,10.92,SF,6.60,2021-12-31,2027-12-31,652,,,73,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.57,6.75,SF,7.75,2019-02-28,2025-11-28,4119,,4118,,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.59,6.75,SF,7.75,2022-09-27,2025-11-28,1289,,1287,,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.57,6.75,SF,7.75,2019-02-28,2025-11-28,62,,62,,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.57,6.75,SF,7.75,2022-09-27,2025-11-28,3432,,3432,,,,
Crownpeak Technology Inc,Revolver,Media: Diversified & Production,,11.32,SF,6.75,2019-02-28,2025-11-28,500,,500,,,,
Sports Operating Holdings II LLC,First Lien Senior Secured,Media: Diversified & Production,,10.21,SF,5.85,2022-11-03,2027-11-03,2933,,2886,,,,
Sports Operating Holdings II LLC,Delayed Draw,Media: Diversified & Production,,10.21,SF,5.85,2022-11-03,2027-11-03,2390,,1319,,,,
Sports Operating Holdings II LLC,Revolver,Media: Diversified & Production,,10.21,SF,5.85,2022-11-03,2027-11-03,519,,,73,,,
V10 Entertainment Inc,First Lien Senior Secured,Media: Diversified & Production,,11.69,SF,7.10,2023-01-12,2028-01-12,3243,,3177,,,,
V10 Entertainment Inc,Revolver,Media: Diversified & Production,,11.65,SF,7.10,2023-01-12,2028-01-12,458,,,73,,,
BLST Operating Company LLC,First Lien Senior Secured,Retail,1.00,11.17,SF,11.17,2020-08-28,2025-08-28,751,,514,,,,
Research Now Group Inc and Survey Sampling International LLC,First Lien Senior Secured,Media: Diversified & Production,,10.29,SF,5.76,2028-10-15,4467,4467,4467,,,,,
Output Services Group Inc,First Lien Senior Secured,Services: Business,,11.11,SF,6.68,2028-11-30,1042,1042,1042,,,,,
SIRVA Worldwide Inc,First Lien Senior Secured,Services: Business,7.52%,5.00%,SF,8.00,2029-08-20,1171,2213,2213,,,,,
Sandvine Corporation,First Lien Senior Secured,Telecommunications,2.00%,,n/a,n/a,2027-06-28,1602,1602,1602,,,,,
Elevate Textiles Inc,Common Equity,Consumer Goods: Durable,,,,,,,,,,,,86,
Polyventive Lender Holding Company LLC,Common Equity,Chemicals Plastics & Rubber,,,,,,,,,,,,,
Avison Young USA Inc,Preferred Equity,FIRE: Real Estate,12.50%,,n/a,n/a,,,,,,,610,,
Avison Young USA Inc,Common Equity,FIRE: Real Estate,,,,,,,,,,,,,
Cano Health Inc,Common Equity,Healthcare & Pharmaceuticals,,,,,,,,,,,,,
Cano Health Inc,Warrant,Healthcare & Pharmaceuticals,,,,,,,,2029-06-28,2,2,,,
Research Now Group Inc and Survey Sampling International LLC,Common Equity,Media: Diversified & Production,,,,,,,,,,,,1093,
American Community Homes Inc,Revolver,Housing,8.5%,,n/a,n/a,,,,,,,6,,
American Community Homes Inc,Common Stock,Housing,,,,,,,,,,,1023,,
Ascent Midco LLC,Class A units,Energy,,,,,,,,,,,,,
Familia Dental Group Holdings LLC,Class A units,Healthcare,,,,2016-04-08,,,,,,,5224,,
MC Asset Management (Corporate) LLC,Delayed Draw,Financial Services,8.5%,,n/a,n/a,,,,,,,244,,
MC Asset Management (Corporate) LLC,LLC interests,Financial Services,,,,,,,,,,,2157,,
Mnine Holdings Inc,Revolver,Technology,8.5%,,n/a,n/a,,,,,,,0,,
Mnine Holdings Inc,Class B units,Technology,,,,,,,,,,,,,
NECB Collections LLC,Revolver,Services: Business,8.5%,,n/a,n/a,,,,,,,0,,
American Community Homes Inc,Common Equity,Real Estate,,,,2022-12-29,,,,,,,2032,,
MC Asset Management (Corporate) LLC,Interests,Financial Services,,,,2019-06-11,,,,,,,793,,
SFR Holdco LLC,Equity Commitment,Real Estate,,,,2021-08-06,,,,,,,3900,,
SFR Holdco 2 LLC,Equity Commitment,Real Estate,,,,2024-10-24,,,,,,,1407,,
Ascent Midco LLC,Class A units,Healthcare & Pharmaceuticals,8.00%,,n/a,n/a,2020-02-05,,,2032,2032,2032,1.9,,
NECB Collections LLC,LLC units,Services: Consumer,,,,2019-06-21,,,,,,,1458,,
MRCC Senior Loan Fund I LLC,Equity Interests,Investment Funds & Vehicles,,,,2017-10-31,,,,,,,42100,,
Independence Buyer Inc,First Lien Senior Secured,Consumer Goods: Durable,10.47%,,SF,5.90,2021-08-03,2026-08-03,5345,5305,285,,,,
Independence Buyer Inc,Revolver,Consumer Goods: Durable,10.40%,,SF,5.85,2021-08-03,2026-08-03,1423,,,,,,
Recycled Plastics Industries LLC,First Lien Senior Secured,Consumer Goods: Durable,11.40%,0.50%,SF,7.35,2021-08-04,2026-08-04,2796,2773,,,,,
The Kyjen Company LLC,First Lien Senior Secured,Consumer Goods: Non-Durable,11.15%,0.75%,SF,7.50,2021-05-14,2026-04-03,987,983,,,,,
The Kyjen Company LLC,First Lien Senior Secured,Consumer Goods: Non-Durable,10.88%,0.75%,SF,7.25,2022-09-13,2026-04-03,1,1,,,,,
The Kyjen Company LLC,Revolver,Consumer Goods: Non-Durable,11.15%,0.75%,SF,7.50,2021-05-14,2026-04-03,89,89,,,,,
Thrasio LLC,First Lien Senior Secured,Consumer Goods: Non-Durable,14.89%,,SF,10.26,2024-07-18,2029-06-18,287,287,,,,,
Avalara Inc,First Lien Senior Secured,FIRE: Finance,10.58%,,SF,6.25,2022-10-19,2028-10-19,4000,3928,,,,,
Avalara Inc,Revolver,FIRE: Finance,10.58%,,SF,6.25,2022-10-19,2028-10-19,400,,,,,,
GC Champion Acquisition LLC,First Lien Senior Secured,FIRE: Finance,9.87%,,SF,5.25,2022-08-19,2028-08-18,2503,2469,,,,,
GC Champion Acquisition LLC,First Lien Senior Secured,FIRE: Finance,9.87%,,SF,5.25,2022-08-19,2028-08-18,695,695,,,,,
GC Champion Acquisition LLC,First Lien Senior Secured,FIRE: Finance,9.87%,,SF,5.25,2023-08-01,2028-08-18,2086,2037,,,,,
GC Champion Acquisition LLC,Delayed Draw,FIRE: Finance,9.87%,,SF,5.25,2024-12-31,2028-08-18,2086,1417,,,,,
J2 BWA Funding LLC,Revolver,FIRE: Finance,10.00%,,n/a,n/a,2020-12-24,2026-12-24,2750,1689,,,,,
Liftforward SPV II LLC,First Lien Senior Secured,FIRE: Finance,15.21%,,SF,10.86,2016-11-10,2025-06-30,301,301,,,,,
RugsUSA Intermediate LLC,Common Equity,Consumer Goods: Durable,,,,,,,,,,,,,
Polyventive Lender Holding Company LLC,Equity Securities,Chemicals Plastics & Rubber,,,,,,,,,,,,,
Cano Health Inc,Warrant,Healthcare & Pharmaceuticals,,,,,,,2029-06-28,,,,,,267
Output Services Group Inc,Common Equity,Services: Business,,,,,,,,,,,,,
SIRVA Worldwide Inc,Common Equity,Services: Business,,,,,,,,,,,,,
SIRVA Worldwide Inc,Preferred Equity,Services: Business,,,,,,,,,,,626,,
AppLogic Networks Parent LLC,Common Equity,Telecommunications,,,,,,,,,,,,,
AppLogic Networks OpCo I LLC,Common Equity,Telecommunications,,,,,,,,,,,,,
Familia Dental Group Holdings LLC,Class A units,Healthcare & Pharmaceuticals,,,,n/a,n/a,2016-04-08,,,5224,7256,4783,4.5,
Mnine Holdings Inc,Class B units,High Tech Industries,,,,n/a,n/a,2020-06-30,,,0,0,0,0,
NECB Collections LLC,LLC units,Services: Consumer,,,,n/a,n/a,2019-06-21,,,1458,1458,0,1.4,
MRCC Senior Loan Fund I LLC,equity interests,Investment Funds & Vehicles,,,,n/a,n/a,2017-10-31,,,0,42650,32730,31.1,
SFR Holdco LLC,Junior secured loan,Services: Consumer,8.00%,,n/a,n/a,,,,5539,5539,5539,1.9,,
SFR Holdco LLC,Common equity,Services: Consumer,,,,n/a,n/a,,,,4372,4372,4372,1.9,
TJ Management HoldCo LLC,Revolver,Services: Business,,,,n/a,n/a,,,,,,,955,
TJ Management HoldCo LLC,Common stock,Services: Business,,,,n/a,n/a,,,,3229,3229,3229,1.9,
MRCC Senior Loan Fund I LLC,equity interests,Investment Funds & Vehicles,,,,n/a,n/a,,,,33122,33122,33122,31.1,
SFR Holdco 2 LLC,Delayed Draw Loan,Services: Consumer,8.00%,,n/a,n/a,,,,5539,5539,5539,1.9,,
SFR Holdco 2 LLC,Equity Commitment,Services: Consumer,,,,n/a,n/a,,,,4372,4372,4372,1.9,
Sandvine Corporation,Common Equity,Telecommunications,,,,n/a,n/a,,,,,,,,
