company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
NationsBenefits LLC (Delayed Draw),First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2024-11-27,2027-08-26,649,,,,,,,MRCC,2025-11-05.BEFORE
NationsBenefits LLC (Revolver),First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2021-08-20,2027-08-26,2222,,,,,,,MRCC,2025-11-05.BEFORE
NQ PE Project Colosseum Midco Inc,First Lien Senior Secured,Healthcare,11.47%,,SF,7.15,2022-10-04,2028-10-04,3430,,3381,,,,,MRCC,2025-11-05.BEFORE
NQ PE Project Colosseum Midco Inc (Revolver),First Lien Senior Secured,Healthcare,11.47%,,SF,7.15,2022-10-04,2028-10-04,438,,,,,,,MRCC,2025-11-05.BEFORE
Seran BioScience LLC,First Lien Senior Secured,Healthcare,11.84%,,SF,7.25,2020-12-31,2027-07-08,2406,,2395,,,,,MRCC,2025-11-05.BEFORE
Seran BioScience LLC,First Lien Senior Secured,Healthcare,11.67%,,SF,7.25,2022-07-08,2027-07-08,2730,,2730,,,,,MRCC,2025-11-05.BEFORE
Seran BioScience LLC,First Lien Senior Secured,Healthcare,11.67%,,SF,7.25,2023-08-21,2027-07-08,1436,,1436,,,,,MRCC,2025-11-05.BEFORE
Douglas Holdings Inc (Delayed Draw),First Lien Senior Secured,High Tech Industries,,10.07%,SF,5.75,2024-08-27,2030-08-27,598,,,,,,,MRCC,2025-11-05.BEFORE
Medallia Inc,First Lien Senior Secured,High Tech Industries,6.93%,4.00%,SF,6.60,2022-08-15,2028-10-27,2229,,2204,,,,,MRCC,2025-11-05.BEFORE
Mindbody Inc,First Lien Senior Secured,High Tech Industries,,11.74%,SF,7.15,2019-02-15,2025-09-30,6536,,6534,,,,,MRCC,2025-11-05.BEFORE
Mindbody Inc,First Lien Senior Secured,High Tech Industries,,11.74%,SF,7.15,2021-09-22,2025-09-30,207,,207,,,,,MRCC,2025-11-05.BEFORE
Mindbody Inc (Revolver),First Lien Senior Secured,High Tech Industries,,11.74%,SF,7.15,2019-02-15,2025-09-30,667,,,,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc,First Lien Senior Secured,High Tech Industries,,10.03%,SF,5.75,2023-06-16,2029-06-15,985,,961,,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc,First Lien Senior Secured,High Tech Industries,,10.08%,SF,5.75,2024-06-27,2029-06-25,216,,214,,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc (Delayed Draw),First Lien Senior Secured,High Tech Industries,,10.03%,SF,5.75,2024-06-27,2029-06-25,289,,,,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc,First Lien Senior Secured,High Tech Industries,,10.08%,SF,5.75,2023-06-16,2029-06-15,221,,221,,,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc (Revolver),First Lien Senior Secured,High Tech Industries,,10.08%,SF,5.75,2023-06-16,2029-06-15,205,,20,,,,,MRCC,2025-11-05.BEFORE
Destination Media Inc,First Lien Senior Secured,Media Advertising Printing & Publishing,,11.03%,SF,6.75,2023-06-21,2028-06-21,985,,957,,,,,MRCC,2025-11-05.BEFORE
Destination Media Inc,First Lien Senior Secured,Media Advertising Printing & Publishing,,10.97%,SF,6.65,2023-06-21,2028-06-21,227,,227,,,,,MRCC,2025-11-05.BEFORE
Aras Corporation,First Lien Senior Secured,Services: Business,,9.58%,SF,5.25,2021-04-13,2029-04-13,2446,,2438,,,,,MRCC,2025-11-05.BEFORE
Aras Corporation (Revolver),First Lien Senior Secured,Services: Business,,9.00%,SF,5.00,2021-04-13,2029-04-13,335,100,100,,,,,MRCC,2025-11-05.BEFORE
Burroughs Inc,First Lien Senior Secured,Services: Business,11.94%,1.00%,SF,8.60,2017-12-22,2025-01-31,4964,,4964,,,,,MRCC,2025-11-05.BEFORE
Burroughs Inc (Revolver),First Lien Senior Secured,Services: Business,11.94%,1.00%,SF,8.60,2017-12-22,2025-01-31,1290,,1290,,,,,MRCC,2025-11-05.BEFORE
Cdata Software Inc,First Lien Senior Secured,Services: Business,,9.75%,SF,5.75,2024-07-18,2030-07-18,6000,5911,5911,,,,,MRCC,2025-11-05.BEFORE
Cdata Software Inc (Delayed Draw),First Lien Senior Secured,Services: Business,,10.57%,SF,6.25,2024-07-18,2030-07-18,556,,,,,,,MRCC,2025-11-05.BEFORE
Cdata Software Inc (Delayed Draw),First Lien Senior Secured,Services: Business,,9.75%,SF,5.75,2024-07-18,2030-07-18,778,306,306,,,,,MRCC,2025-11-05.BEFORE
Cdata Software Inc (Revolver),First Lien Senior Secured,Services: Business,,10.57%,SF,6.25,2024-07-18,2030-07-18,667,,,,,,,MRCC,2025-11-05.BEFORE
HS4 Acquisitionco Inc,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2019-07-09,2025-07-09,9698,,9673,,,,,MRCC,2025-11-05.BEFORE
HS4 Acquisitionco Inc (Revolver),First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2019-07-09,2025-07-09,817,,552,,,,,MRCC,2025-11-05.BEFORE
iCIMS Inc,First Lien Senior Secured,Services: Business,,10.57%,SF,6.25,2022-10-24,2028-08-18,2500,2475,2475,,,,,MRCC,2025-11-05.BEFORE
Kingsley Gate Partners LLC,First Lien Senior Secured,Services: Business,,11.24%,SF,6.65,2022-12-09,2028-12-11,590,,581,,,,,MRCC,2025-11-05.BEFORE
Kingsley Gate Partners LLC,First Lien Senior Secured,Services: Business,,11.24%,SF,6.65,2022-12-09,2028-12-11,189,,189,,,,,MRCC,2025-11-05.BEFORE
Kingsley Gate Partners LLC,First Lien Senior Secured,Services: Business,,11.24%,SF,6.65,2022-12-09,2028-12-11,274,,274,,,,,MRCC,2025-11-05.BEFORE
Kingsley Gate Partners LLC (Revolver),First Lien Senior Secured,Services: Business,,10.94%,SF,6.60,2022-12-09,2028-12-11,240,,192,,,,,MRCC,2025-11-05.BEFORE
Northeast Contracting Company LLC,First Lien Senior Secured,Services: Business,,10.76%,SF,6.26,2024-08-16,2029-08-16,1496,,1468,,,,,MRCC,2025-11-05.BEFORE
Northeast Contracting Company LLC (Revolver),First Lien Senior Secured,Services: Business,,10.76%,SF,6.26,2024-08-16,2029-08-16,318,,,,,,,MRCC,2025-11-05.BEFORE
Prototek LLC,First Lien Senior Secured,Services: Business,7.90%,5.00%,SF,8.35,2022-12-08,2027-12-08,2468,,2391,,,,,MRCC,2025-11-05.BEFORE
Prototek LLC (Revolver),First Lien Senior Secured,Services: Business,7.90%,5.00%,SF,8.35,2022-12-08,2027-12-08,288,,,,,,,MRCC,2025-11-05.BEFORE
Security Services Acquisition Sub Corp,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2024-03-01,2027-09-30,1832,,1832,,,,,MRCC,2025-11-05.BEFORE
Security Services Acquisition Sub Corp,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2024-06-17,2027-09-30,5902,,5902,,,,,MRCC,2025-11-05.BEFORE
Security Services Acquisition Sub Corp,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2024-06-17,2027-09-30,1810,,1810,,,,,MRCC,2025-11-05.BEFORE
Vhagar Purchaser LLC,First Lien Senior Secured,Services: Business,,10.59%,SF,6.00,2023-06-09,2029-06-11,3000,,2929,,,,,MRCC,2025-11-05.BEFORE
Vhagar Purchaser LLC (Delayed Draw),First Lien Senior Secured,Services: Business,,10.59%,SF,6.00,2023-06-09,2029-06-11,667,,150,,,,,MRCC,2025-11-05.BEFORE
