company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
ITA Acquisition LLC,co_0a929a15303f,First Lien,,,,,,,2021-06-22,2026-06-21,,2458,2458,6.7%,2458,,,,,,RAND,2023-11-06
ITA Acquisition LLC,co_0a929a15303f,First Lien,,12%,5%,,,,2021-06-22,2026-06-21,,1626,1626,,1626,,,,,,RAND,2023-11-06
ITA Acquisition LLC,co_0a929a15303f,Common Equity,,,,,,,2021-06-22,,,1124,,,1124,,,,,,RAND,2023-11-06
ITA Acquisition LLC,co_0a929a15303f,Other,,,,,,,,,,5207,4083,,5207,,,,,,RAND,2023-11-06
ITA Acquisition LLC,co_0a929a15303f,First Lien,,12%,5%,,,,,2026-06-21,2298,,2458,,,,,,,,RAND,2023-11-06
ITA Acquisition LLC,co_0a929a15303f,First Lien,,12%,5%,,,,,,1500,,1626,,,,,,,,RAND,2023-11-06
Applied Image Inc.,co_626ef61915c4,First Lien,,10%,,,,,,2029-02-01,,,1750,,,,,,,,RAND,2023-11-06
BMP Food Service Supply Holdco LLC,co_081ee2425789,First Lien,Food & Beverage,12%,,,,,,2027-11-22,,,4780,,,,,,,,RAND,2023-11-06
BMP Swanson Holdco LLC,co_6d3b5b8e0715,First Lien,,12%,,,,,,2026-09-04,,,1700,,,,,,,,RAND,2023-11-06
DSD Operating LLC,co_98ec730a6da4,First Lien,,12%,2%,,,,,2026-09-30,3063,,3171,,,,,,,,RAND,2023-11-06
FCM Industries Holdco LLC,co_2709ecc477d5,First Lien,,13%,,,,,,2028-07-31,3380,,3380,,,,,,,,RAND,2023-11-06
Filterworks Acquisition USA LLC,co_c28bd0ae2682,First Lien,,,8%,,,,,,2284,,2838,,,,,,,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,First Lien,Software & Technology,12%,2%,,,,,2028-04-04,3288,,3321,,,,,,,,RAND,2023-11-06
Pressure Pro Inc.,co_8cb3fd97beec,First Lien,,12%,3%,,,,,2028-01-19,3000,,3038,,,,,,,,RAND,2023-11-06
