company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Affiliate Investments – Net assets,Other,Financial Services,,,,,,,,,,,80.4%,,,,,,,RAND,2025-05-05
Control Investments - 3.1%% of net assets,Other,Financial Services,,,,,,,,,,,3.1%,,,,,,,RAND,2025-05-05
LIABILITIES IN EXCESS OF LIABILITIES - 4.8%,Other,,,,,,,,,,,,4.8%,,,,,,,RAND,2025-05-05
Investments NET ASSETS - 100%,Other,Financial Services,,,,,,,,,,,1%,,,,,,,RAND,2025-05-05
Carolina Skiff LLC,Other,,,,,,,,,,,1208,,,,,,,,RAND,2025-05-05
FCM Industries Holdco LLC,Other,Financial Services,,,,,,,,,,3392,,,,,,,,RAND,2025-05-05
Inter-National Electronic Alloys LLC,Other Equity,Software & Technology,,,,,,,,,,1300,,,,,,75.3,,RAND,2025-05-05
Mobile RN Holdings LLC,Common Equity,,,,,,,,,,,375,,,,,,6375,,RAND,2025-05-05
Mobile RN Holdings LLC,Other,,,,,,,,,,,2888,,,,,,,,RAND,2025-05-05
Seybert’s Billiards Corp.,Other,,,,,,,,,,,8211,,,,,,,,RAND,2025-05-05
