company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Edge Adhesives Holdings,First Lien,Chemicals & Materials,10.6%,,SOFR,5.5%,,,,6140,6140,2752,,6140,,,,,,GLAD,2023-07-26
Encore Dredging Holdings LLC,First Lien,,13.4%,,SOFR,8.3%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Encore Dredging Holdings,First Lien,Media & Entertainment,12.1%,1.5%,SOFR,7%,,,,23881,23881,23284,,23881,,,,,,GLAD,2023-07-26
Encore Dredging Holdings,First Lien,Media & Entertainment,12.1%,2.5%,SOFR,7%,,,,4619,4619,4503,,4619,,,,,,GLAD,2023-07-26
Encore Dredging Holdings,Delayed Draw,Media & Entertainment,12.1%,1.5%,SOFR,7%,,,,5081,5081,4954,,5081,,,,,,GLAD,2023-07-26
Edge Adhesives Holdings,Preferred Equity,Chemicals & Materials,,,,,,,,,5466,0,,5466,,,,5466,,GLAD,2023-07-26
Encore Dredging Holdings,Preferred Equity,Media & Entertainment,,,,,,,,,3840,4278,,3840,,,,3840000,,GLAD,2023-07-26
Canopy Safety Brands,Preferred Equity,,,,,,,,,,500,846,,500,,,,500000,,GLAD,2023-07-26
Canopy Safety Brands,Common Equity,,,,,,,,,,800,1406,,800,,,,1170370,,GLAD,2023-07-26
Lonestar EMS,First Lien,Media & Entertainment,,8%,,,,,,3847,3847,3847,,3847,,,,,,GLAD,2023-07-26
WB Xcel Holdings LLC,First Lien,,15.6%,,SOFR,10.5%,,,,1468,1468,1468,,1468,,,,,,GLAD,2023-07-26
WB Xcel Holdings,First Lien,Media & Entertainment,15.6%,,SOFR,10.5%,,,,9850,9850,9850,,9850,,,,,,GLAD,2023-07-26
TNCP Intermediate HoldCo LLC,First Lien,Media & Entertainment,8%,,,,,,,900,900,900,,900,,,,,,GLAD,2023-07-26
Defiance Integrated Technologies,First Lien,Media & Entertainment,14.7%,,SOFR,9.6%,,,,7425,7425,7425,,7425,,,,,,GLAD,2023-07-26
WB Xcel Holdings LLC,Other Equity,Media & Entertainment,,,,,,,,,2750,1141,,2750,,,,333,,GLAD,2023-07-26
Defiance Integrated Technologies,Common Equity,Media & Entertainment,,,,,,,,,580,2639,,580,,,,33321,,GLAD,2023-07-26
Lonestar EMS,Common Equity,Media & Entertainment,,,,,,,,,6750,0,,6750,,,,,,GLAD,2023-07-26
PIC 360,Common Equity,Media & Entertainment,,,,,,,,,1,256,,1,,,,750,,GLAD,2023-07-26
TNCP Intermediate HoldCo,Common Equity,Media & Entertainment,,,,,,,,,500,2928,,500,,,,790000,,GLAD,2023-07-26
