company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
ESCP DTFS INC,co_018879d85941,First Lien,Industrial Services,8.25%,,LIBOR (Q),6.50%,2020-01-31,2025-01-31,5350,5269,4986,,5269,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,First Lien,Industrial Services,10.25%,,LIBOR (Q),8.50%,2020-01-31,2025-01-31,5350,5270,4986,,5270,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,First Lien,Industrial Services,8.25%,,LIBOR (Q),6.50%,2020-01-31,2025-01-31,5350,5279,4949,,5279,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,First Lien,Industrial Services,10.25%,,LIBOR (Q),8.50%,2020-01-31,2025-01-31,5350,5278,4949,,5278,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,Delayed Draw,Industrial Services,8.25%,,LIBOR (Q),6.50%,2020-01-31,2025-01-31,500,491,466,,491,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,Delayed Draw,Industrial Services,10.25%,,LIBOR (Q),8.50%,2020-01-31,2025-01-31,500,491,466,,491,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,Delayed Draw,Industrial Services,8.25%,,LIBOR,6.50%,2020-01-31,2025-01-31,500,492,462,,492,,,CSWC,2021-11-02
ESCP DTFS INC,co_018879d85941,Delayed Draw,Industrial Services,10.25%,,LIBOR,8.50%,2020-01-31,2025-01-31,500,492,462,,492,,,CSWC,2021-11-02
FAST SANDWICH LLC,co_8676815d6718,First Lien,Food & Beverage,10.00%,,LIBOR (Q),9.00%,2018-05-24,2023-05-23,3359,3332,3023,,3332,,,CSWC,2021-11-02
FAST SANDWICH LLC,co_8676815d6718,First Lien,Food & Beverage,10.00%,,LIBOR (Q),9.00%,2018-05-24,2023-05-23,3318,3297,3318,,3297,,,CSWC,2021-11-02
FLIP ELECTRONICS LLC,co_7f58a3e4c63f,First Lien,Technology Hardware,9.05%,,LIBOR (M),8.05%,2021-01-04,2026-01-02,15500,15177,15252,,15177,,,CSWC,2021-11-02
FLIP ELECTRONICS LLC,co_7f58a3e4c63f,First Lien,Technology Hardware,8.96%,,LIBOR (M),7.96%,2021-01-04,2026-01-02,15500,15204,15500,,15204,,,CSWC,2021-11-02
FLIP ELECTRONICS LLC,co_7f58a3e4c63f,Common Equity,Technology Hardware,,,N/A,N/A,2021-01-04,,,2000,2285,,2000,,,CSWC,2021-11-02
GS OPERATING LLC,co_f0408d8e745f,First Lien,Business Services,8.00%,,LIBOR (M),6.50%,2020-03-06,2025-02-24,7920,77,,,,,,CSWC,2021-11-02
Roseland Management,co_395744170f9c,Revolver,Healthcare Services,9.00%,,LIBOR (Q),7.00%,2018-11-09,2023-11-09,500,482,500,,482,,,CSWC,2021-11-02
Roseland Management,co_395744170f9c,First Lien,Healthcare Services,9.00%,,LIBOR (Q),7.00%,2018-11-09,2023-11-09,14270,14108,14270,,14108,,,CSWC,2021-11-02
Roseland Management,co_395744170f9c,Common Equity,Healthcare Services,,,N/A,N/A,2018-11-09,,,1381,1720,,1381,,,CSWC,2021-11-02
RTIC Subsidiary Holdings,co_7851f4467604,Revolver,Consumer Products,9.00%,,LIBOR (Q),7.75%,2020-09-01,2025-09-01,329,317,329,,317,,,CSWC,2021-11-02
RTIC Subsidiary Holdings,co_7851f4467604,First Lien,Consumer Products,9.00%,,LIBOR (Q),7.75%,2020-09-01,2025-09-01,7135,7054,7135,,7054,,,CSWC,2021-11-02
Scrip,co_2ef5fafbc56b,First Lien,Medical Devices & Equipment,11.68%,,LIBOR (M),9.68%,2019-03-21,2024-03-21,16750,16422,16750,,16422,,,CSWC,2021-11-02
Scrip,co_2ef5fafbc56b,Common Equity,Medical Devices & Equipment,,,N/A,N/A,2019-03-21,,,1000,967,,1000,,,CSWC,2021-11-02
Tax Advisors Group,co_9dc62296ad3e,Common Equity,Financial Services,,,N/A,N/A,2017-06-23,,,541,1539,,541,,,CSWC,2021-11-02
