company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Archer Systems LLC,co_242020cccfa1,First Lien,Business Services,,,SOFR,6%,,,,0,-4,-4,,-4,,,,,,MSIF,2023-05-12
Archer Systems LLC,co_242020cccfa1,First Lien,Business Services,10.72%,,SOFR,6%,,,,2200,2161,2145,,2161,,,,,,MSIF,2023-05-12
Archer Systems LLC,co_242020cccfa1,Common Equity,Business Services,,,,,,,,,62,80,,62,,,,62402,,MSIF,2023-05-12
ATS Operating LLC,co_618aa0fe43a4,First Lien,Consumer & Retail,11.39%,,SOFR,6.5%,,,,50,50,50,,50,,,,,,MSIF,2023-05-12
ATS Operating LLC,co_618aa0fe43a4,First Lien,Consumer & Retail,10.09%,,SOFR,5.5%,,,,925,908,914,,908,,,,,,MSIF,2023-05-12
ATS Operating LLC,co_618aa0fe43a4,First Lien,Consumer & Retail,12.09%,,SOFR,7.5%,,,,925,908,916,,908,,,,,,MSIF,2023-05-12
ATS Operating LLC,co_618aa0fe43a4,Common Equity,Consumer & Retail,,,,,,,,,100,90,,100,,,,100000,,MSIF,2023-05-12
AVEX Aviation Holdings LLC,co_d29c526556c6,First Lien,Transportation & Logistics,12.52%,,SOFR,7.75%,,,,307,287,294,,287,,,,,,MSIF,2023-05-12
AVEX Aviation Holdings LLC,co_d29c526556c6,First Lien,Transportation & Logistics,12.61%,,SOFR,7.75%,,,,4028,3874,3862,,3874,,,,,,MSIF,2023-05-12
AVEX Aviation Holdings LLC,co_d29c526556c6,Common Equity,Transportation & Logistics,,,,,,,,,134,140,,134,,,,137,,MSIF,2023-05-12
BBB Tank Services LLC,co_c4e9aca0ef47,Unsecured Debt,Business Services,15.66%,,SOFR,11%,,,,200,200,200,,200,,,,,,MSIF,2023-05-12
BBB Tank Services LLC,co_c4e9aca0ef47,Unsecured Debt,Business Services,15.66%,,SOFR,11%,,,,1000,1000,522,,1000,,,,,,MSIF,2023-05-12
BBB Tank Services LLC,co_c4e9aca0ef47,Other Equity,Business Services,,,,,,,,,200,0,,200,,,,200000,,MSIF,2023-05-12
BBB Tank Services LLC,co_c4e9aca0ef47,Preferred Equity,Business Services,15%,,,,,,,,41,0,,41,,,,,,MSIF,2023-05-12
Berry Aviation Inc.,co_b52dc19b57c1,First Lien,Transportation & Logistics,12%,1.5%,,,,,,197,197,197,,197,,,,,,MSIF,2023-05-12
Berry Aviation Inc.,co_b52dc19b57c1,Preferred Equity,Transportation & Logistics,8%,8%,,,,,,,1184,5544,,1184,,,,1548387,,MSIF,2023-05-12
Berry Aviation Inc.,co_b52dc19b57c1,Preferred Equity,Transportation & Logistics,,16%,,,,,,,0,340,,0,,,,122416,,MSIF,2023-05-12
Bettercloud Inc.,co_f31c7d56bd51,First Lien,Software & Technology,,6%,SOFR,7%,,,,0,-21,-21,,-21,,,,,,MSIF,2023-05-12
Bettercloud Inc.,co_f31c7d56bd51,First Lien,Software & Technology,11.89%,6%,SOFR,7%,,,,8111,7975,8111,,7975,,,,,,MSIF,2023-05-12
Binswanger Enterprises LLC,co_6f95686c747c,Other Equity,Other,,,,,,,,,1050,230,,1050,,,,1050000,,MSIF,2023-05-12
Bluestem Brands Inc.,co_b3e03f6d618c,First Lien,Consumer & Retail,15.5%,14.5%,SOFR,7.5%,,,,1299,1299,1221,,1299,,,,,,MSIF,2023-05-12
Bluestem Brands Inc.,co_b3e03f6d618c,First Lien,Consumer & Retail,13.07%,12.07%,SOFR,8.5%,,,,3549,2626,3336,,2626,,,,,,MSIF,2023-05-12
Bluestem Brands Inc.,co_b3e03f6d618c,Common Equity,Consumer & Retail,,,,,,,,,0,2974,,0,,,,700446,,MSIF,2023-05-12
Bluestem Brands Inc.,co_b3e03f6d618c,Warrants,Consumer & Retail,,,,,,,,,1111,739,,1111,,,,175110,,MSIF,2023-05-12
Boccella Precast Products LLC,co_53c71ad5fd84,First Lien,Financial Services,10%,,,,,,,80,80,80,,80,,,,,,MSIF,2023-05-12
Boccella Precast Products LLC,co_53c71ad5fd84,Other Equity,Financial Services,,,,,,,,,564,692,,564,,,,540000,,MSIF,2023-05-12
Brightwood Capital Fund Investments,co_b5ed0f8e511a,Partnership Interest,Financial Services,,,,,,,,,2449,1529,,2449,,,,,,MSIF,2023-05-12
Brightwood Capital Fund Investments,co_b5ed0f8e511a,Partnership Interest,Financial Services,,,,,,,,,8737,9328,,8737,,,,,,MSIF,2023-05-12
Buca C LLC,co_c4a5caef13e0,First Lien,Financial Services,12%,,,,,,,11490,11490,8095,,11490,,,,,,MSIF,2023-05-12
Buca C LLC,co_c4a5caef13e0,Preferred Equity,Financial Services,6%,6%,,,,,,,3040,0,,3040,,,,4,,MSIF,2023-05-12
Burning Glass Intermediate Holding Company Inc.,co_33af9de19b34,First Lien,Media & Entertainment,9.83%,,SOFR,5%,,,,516,499,516,,499,,,,,,MSIF,2023-05-12
Burning Glass Intermediate Holding Company Inc.,co_33af9de19b34,First Lien,Media & Entertainment,9.63%,,SOFR,5%,,,,13222,13045,13222,,13045,,,,,,MSIF,2023-05-12
Cadence Aerospace LLC,co_f3f2ca39afc6,First Lien,Aerospace & Defense,13.14%,2%,SOFR,6.5%,,,,14372,14350,14372,,14350,,,,,,MSIF,2023-05-12
Cadence Aerospace LLC,co_f3f2ca39afc6,First Lien,Aerospace & Defense,13.14%,2%,SOFR,6.5%,,,,4464,4457,4464,,4457,,,,,,MSIF,2023-05-12
Cadence Aerospace LLC,co_f3f2ca39afc6,First Lien,Aerospace & Defense,13.33%,2%,SOFR,6.5%,,,,0,0,0,,0,,,,,,MSIF,2023-05-12
Cadence Aerospace LLC,co_f3f2ca39afc6,First Lien,Aerospace & Defense,13.23%,2%,SOFR,6.5%,,,,0,0,0,,0,,,,,,MSIF,2023-05-12
Cadence Aerospace LLC,co_f3f2ca39afc6,First Lien,Aerospace & Defense,13.33%,2%,SOFR,6.5%,,,,1774,1771,1774,,1771,,,,,,MSIF,2023-05-12
CAI Software LLC,co_756360b8afb1,Preferred Equity,Software & Technology,,,,,,,,,379,379,,379,,,,379338,,MSIF,2023-05-12
CAI Software LLC,co_756360b8afb1,Preferred Equity,Software & Technology,,,,,,,,,0,0,,0,,,,126446,,MSIF,2023-05-12
Camin Cargo Control Inc.,co_3d22df6caf4c,First Lien,Transportation & Logistics,11.34%,,SOFR,6.5%,,,,7589,7537,7323,,7537,,,,,,MSIF,2023-05-12
Career Team Holdings LLC,co_f0de40c8c138,First Lien,Financial Services,,,SOFR,6%,,,,0,-3,-3,,-3,,,,,,MSIF,2023-05-12
Career Team Holdings LLC,co_f0de40c8c138,First Lien,Financial Services,12.5%,,,,,,,2250,2200,2200,,2200,,,,,,MSIF,2023-05-12
Career Team Holdings LLC,co_f0de40c8c138,Common Equity,Financial Services,,,,,,,,,500,500,,500,,,,50000,,MSIF,2023-05-12
CaseWorthy Inc.,co_84ee67a444be,First Lien,Other,,,SOFR,6%,,,,0,-3,-3,,-3,,,,,,MSIF,2023-05-12
CaseWorthy Inc.,co_84ee67a444be,First Lien,Other,10.73%,,SOFR,6%,,,,2600,2575,2576,,2575,,,,,,MSIF,2023-05-12
CaseWorthy Inc.,co_84ee67a444be,First Lien,Other,10.73%,,SOFR,6%,,,,1995,1978,1995,,1978,,,,,,MSIF,2023-05-12
CaseWorthy Inc.,co_84ee67a444be,Common Equity,Other,,,,,,,,,80,80,,80,,,,80000,,MSIF,2023-05-12
Channel Partners Intermediateco LLC,co_3da86bdb716d,First Lien,Media & Entertainment,11.06%,,SOFR,6.25%,,,,172,163,168,,163,,,,,,MSIF,2023-05-12
Channel Partners Intermediateco LLC,co_3da86bdb716d,First Lien,Media & Entertainment,11.08%,,SOFR,6.25%,,,,3574,3517,3500,,3517,,,,,,MSIF,2023-05-12
Channel Partners Intermediateco LLC,co_3da86bdb716d,First Lien,Media & Entertainment,11.14%,,SOFR,6.25%,,,,453,441,444,,441,,,,,,MSIF,2023-05-12
Clarius BIGS LLC,co_7c4c5df3615a,First Lien,Other,15%,15%,,,,,,2747,2402,26,,2402,,,,,fair_value_suspicious_vs_size,MSIF,2023-05-12
Classic H&G Holdings LLC,co_d37ccfc9c051,First Lien,Financial Services,10.88%,,SOFR,6%,,,,1140,1128,1140,,1128,,,,,,MSIF,2023-05-12
Classic H&G Holdings LLC,co_d37ccfc9c051,First Lien,Financial Services,8%,,,,,,,4819,4757,4819,,4757,,,,,,MSIF,2023-05-12
Classic H&G Holdings LLC,co_d37ccfc9c051,Preferred Equity,Financial Services,,,,,,,,,1440,6430,,1440,,,,39,,MSIF,2023-05-12
Computer Data Source LLC,co_cfc18d7dd2f3,First Lien,Software & Technology,12.34%,,SOFR,7.5%,,,,4167,4110,3799,,4110,,,,,,MSIF,2023-05-12
Computer Data Source LLC,co_cfc18d7dd2f3,First Lien,Software & Technology,12.35%,,SOFR,7.5%,,,,15547,15334,14176,,15334,,,,,,MSIF,2023-05-12
Construction Supply Investments LLC,co_7b6cf12b107b,Other Equity,Financial Services,,,,,,,,,3335,23650,,3335,,,,861618,,MSIF,2023-05-12
Dalton US Inc.,co_950f04bf6af7,First Lien,Other,12.33%,,SOFR,7.5%,,,,232,216,226,,216,,,,,,MSIF,2023-05-12
Dalton US Inc.,co_950f04bf6af7,First Lien,Other,,,SOFR,7.5%,,,,0,-5,-5,,-5,,,,,,MSIF,2023-05-12
Dalton US Inc.,co_950f04bf6af7,First Lien,Other,12.26%,,SOFR,7.5%,,,,1032,1014,1006,,1014,,,,,,MSIF,2023-05-12
Dalton US Inc.,co_950f04bf6af7,Common Equity,Other,,,,,,,,,14,14,,14,,,,14,,MSIF,2023-05-12
DMA Industries LLC,co_b3c77e215f27,First Lien,Financial Services,12%,,,,,,,5300,5222,5300,,5222,,,,,,MSIF,2023-05-12
DMA Industries LLC,co_b3c77e215f27,Preferred Equity,Financial Services,,,,,,,,,1486,1820,,1486,,,,1486,,MSIF,2023-05-12
DTE Enterprises LLC,co_35e58a322ee6,First Lien,Other,,,SOFR,7.5%,,,,0,0,0,,0,,,,,,MSIF,2023-05-12
DTE Enterprises LLC,co_35e58a322ee6,First Lien,Other,12.44%,,SOFR,7.5%,,,,5634,5632,5634,,5632,,,,,,MSIF,2023-05-12
DTE Enterprises LLC,co_35e58a322ee6,Preferred Equity,Other,8%,8%,,,,,,,776,380,,776,,,,776316,,MSIF,2023-05-12
DTE Enterprises LLC,co_35e58a322ee6,Preferred Equity,Other,10%,10%,,,,,,,1190,1190,,1190,,,,,,MSIF,2023-05-12
Dynamic Communities LLC,co_297b2fa395b4,First Lien,Business Services,9.18%,9.18%,SOFR,4.5%,,,,1875,1717,1717,,1717,,,,,,MSIF,2023-05-12
Dynamic Communities LLC,co_297b2fa395b4,First Lien,Business Services,11.18%,11.18%,SOFR,6.5%,,,,1875,1642,1642,,1642,,,,,,MSIF,2023-05-12
Dynamic Communities LLC,co_297b2fa395b4,Preferred Equity,Business Services,,,,,,,,,128,128,,128,,,,125000,,MSIF,2023-05-12
Dynamic Communities LLC,co_297b2fa395b4,Preferred Equity,Business Services,,,,,,,,,0,0,,0,,,,2376241,,MSIF,2023-05-12
