ticker,filing_date,statement_label,statement_type,line_item,concept,value,context_key,start_date,end_date,instant_date,duration_days,level,is_abstract,preferred_label,order_index,metric_key
SLRC,2025-11-04,income_statement,income_statement,CapitalizationOfPaymentInKindIncome,CapitalizationOfPaymentInKindIncome,-6064000,C_41e4f7e9-3442-4327-ae4c-4cb9f1651411,,,,,,False,CapitalizationOfPaymentInKindIncome,,
SLRC,2025-11-04,income_statement,income_statement,CollectionsOfPaymentInKindIncome,CollectionsOfPaymentInKindIncome,1116000,C_9fdcf389-81d8-4f64-a589-4cda18e5b9e7,,,,,,False,CollectionsOfPaymentInKindIncome,,
SLRC,2025-11-04,income_statement,income_statement,CollectionsOfPaymentInKindIncome,CollectionsOfPaymentInKindIncome,2457000,C_41e4f7e9-3442-4327-ae4c-4cb9f1651411,,,,,,False,CollectionsOfPaymentInKindIncome,,
SLRC,2025-11-04,income_statement,income_statement,IncreaseDecreaseInAdministrativeServicesExpensePayable,IncreaseDecreaseInAdministrativeServicesExpensePayable,-1575000,C_9fdcf389-81d8-4f64-a589-4cda18e5b9e7,,,,,,False,IncreaseDecreaseInAdministrativeServicesExpensePayable,,
SLRC,2025-11-04,income_statement,income_statement,IncreaseDecreaseInAdministrativeServicesExpensePayable,IncreaseDecreaseInAdministrativeServicesExpensePayable,533000,C_41e4f7e9-3442-4327-ae4c-4cb9f1651411,,,,,,False,IncreaseDecreaseInAdministrativeServicesExpensePayable,,
SLRC,2025-11-04,income_statement,income_statement,IncomeTaxesPaidNet,IncomeTaxesPaidNet,50071000,C_9fdcf389-81d8-4f64-a589-4cda18e5b9e7,,,,,,False,IncomeTaxesPaidNet,,
SLRC,2025-11-04,income_statement,income_statement,IncomeTaxesPaidNet,IncomeTaxesPaidNet,53689000,C_41e4f7e9-3442-4327-ae4c-4cb9f1651411,,,,,,False,IncomeTaxesPaidNet,,
SLRC,2025-11-04,income_statement,income_statement,InterestAndDividendIncomeSecurities,InterestAndDividendIncomeSecurities,104000,C_e37278cb-e206-483d-9877-5f9ee349f934,,,,,,False,InterestAndDividendIncomeSecurities,,
SLRC,2025-11-04,income_statement,income_statement,InterestAndDividendIncomeSecurities,InterestAndDividendIncomeSecurities,8780000,C_533157aa-4d1e-4f48-8ec8-f37b43b8ac66,,,,,,False,InterestAndDividendIncomeSecurities,,
SLRC,2025-11-04,income_statement,income_statement,InterestAndDividendIncomeSecurities,InterestAndDividendIncomeSecurities,14803000,C_f2be59d7-2363-4141-8edf-51b7dec3e807,,,,,,False,InterestAndDividendIncomeSecurities,,
SLRC,2025-11-04,income_statement,income_statement,InterestAndDividendIncomeSecurities,InterestAndDividendIncomeSecurities,406000,C_237e0bfd-ad24-49ec-88c3-5331221fe853,,,,,,False,InterestAndDividendIncomeSecurities,,
SLRC,2025-11-04,income_statement,income_statement,InterestAndDividendIncomeSecurities,InterestAndDividendIncomeSecurities,0,C_18bd792d-f8fc-465a-ae62-d02cb82a1190,,,,,,False,InterestAndDividendIncomeSecurities,,
