company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
"Axiom Space Holdings, Inc.",co_6fa4a59ee2ca,Warrants,Telecommunications,,,,,,,,,,62,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Intelepeer Holdings, Inc.",co_d92e3412701e,Warrants,Telecommunications,,,,,,,,,,2838,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"PebblePost, Inc.",co_82d899aa4536,Warrants,Telecommunications,,,,,,,,,,132,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Alula Holdings, Inc.",co_fb45b87e712e,Warrants,Consumer & Retail,8.0%,,,,,,,,,8,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"CAMP NYC, Inc.",co_8b776fdcc5a2,Warrants,Consumer & Retail,,,,,,,,,,41,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Clara Foods Co.,co_8a983ca65a6a,Warrants,Consumer & Retail,,,,,,,,,,125,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"CZV, Inc.",co_dc4887eda674,Warrants,Consumer & Retail,,,,,,,,,,74,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Divergent Technologies, Inc.",co_0c30050020d8,Warrants,Consumer & Retail,,,,,,,,,,622,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Havenly, Inc.",co_9a9966b152e2,Warrants,Consumer & Retail,,,,,,,,,,2490,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
MyForest Foods Co.,co_bba0bec98d17,Warrants,Consumer & Retail,28.0%,,,,27.0%,,,,,27,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"NextCar Holding Company, Inc.",co_ba06f9a7cffd,Warrants,Consumer & Retail,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"NextCar Holding Company, Inc.",co_ba06f9a7cffd,Warrants,Consumer & Retail,9.0%,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Optoro, Inc.",co_014711297a51,Warrants,Consumer & Retail,,,,,,,,,,145,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
