company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Imunon Inc,co_0694d4bf94fa,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,19671,65,,,65,,,HRZN,2025-10-28
KSQ Therapeutics Inc,co_6a6fbbada2fa,Warrants,Pharmaceuticals & Biotechnology,,,,,48076,50,53,,50,,,,,HRZN,2025-10-28
KSQ Therapeutics Inc,co_6a6fbbada2fa,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,134614,139,12,,139,,,HRZN,2025-10-28
Mustang Bio Inc,co_5c414071d644,Warrants,Pharmaceuticals & Biotechnology,,,,,16611,146,,146,,,,,,HRZN,2025-10-28
Mustang Bio Inc,co_5c414071d644,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,568,146,,,146,,,HRZN,2025-10-28
Native Microbials Inc,co_5f015ff6a606,Warrants,Pharmaceuticals & Biotechnology,,,,,112879,73,68,,73,,,,,HRZN,2025-10-28
Native Microbials Inc,co_5f015ff6a606,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,178631,93,4,,93,,,HRZN,2025-10-28
PDS Biotechnology Corporation,co_2d8944d48eba,Warrants,Pharmaceuticals & Biotechnology,,,,,299848,160,14,,160,,,,,HRZN,2025-10-28
PDS Biotechnology Corporation,co_2d8944d48eba,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,381625,161,,,161,,,HRZN,2025-10-28
Provivi Inc,co_18ea08a42f81,Warrants,Pharmaceuticals & Biotechnology,,,,,175098,278,,278,,,,,,HRZN,2025-10-28
Provivi Inc,co_18ea08a42f81,Warrants,Pharmaceuticals & Biotechnology,,,,,709980,312,59,,312,,,,,HRZN,2025-10-28
Provivi Inc,co_18ea08a42f81,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,175098,278,,,278,,,HRZN,2025-10-28
Provivi Inc,co_18ea08a42f81,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,709980,312,,,312,,,HRZN,2025-10-28
Stealth Biotherapeutics Inc,co_4f680e64d89a,Warrants,Pharmaceuticals & Biotechnology,,,,,318181,264,,264,,,,,,HRZN,2025-10-28
Stealth Biotherapeutics Inc,co_4f680e64d89a,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,454544,267,6,,267,,,HRZN,2025-10-28
Tallac Therapeutics Inc,co_3f764aa28076,Warrants,Pharmaceuticals & Biotechnology,,,,,1600002,194,167,,194,,,,,HRZN,2025-10-28
Tallac Therapeutics Inc,co_3f764aa28076,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,2266669,198,,,198,,,HRZN,2025-10-28
Xeris Pharmaceuticals Inc,co_e1e16bf80604,Warrants,Pharmaceuticals & Biotechnology,,,,,126000,73,91,,73,,,,,HRZN,2025-10-28
Xeris Pharmaceuticals Inc,co_e1e16bf80604,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,126000,73,738,,73,,,HRZN,2025-10-28
AccuVein Inc,co_5e0725beae59,Warrants,Medical Devices & Equipment,,,,,271,7,,7,,,,,,HRZN,2025-10-28
Aerin Medical Inc,co_d28343240c22,Warrants,Medical Devices & Equipment,,,,,1818183,65,1418,,65,,,,,HRZN,2025-10-28
Aerin Medical Inc,co_d28343240c22,Warrants,Medical Devices & Equipment,,,,N/A,,,1818183,65,1347,,65,,,HRZN,2025-10-28
Aerobiotix LLC,co_946ac41f3b80,Warrants,Medical Devices & Equipment,,,,,8800,48,16,,48,,,,,HRZN,2025-10-28
Canary Medical Inc,co_e41445341888,Warrants,Medical Devices & Equipment,,,,,12153,86,2,,86,,,,,HRZN,2025-10-28
Canary Medical Inc,co_e41445341888,Warrants,Medical Devices & Equipment,,,,N/A,,,12153,86,1,,86,,,HRZN,2025-10-28
Candesant Biomedical Inc,co_5e7deb2c5213,Warrants,Medical Devices & Equipment,,,,,93336,152,78,,152,,,,,HRZN,2025-10-28
Magnolia Medical Technologies Inc,co_49448d655fb3,Warrants,Medical Devices & Equipment,,,N/A,,,,809931,194,368,,194,,,HRZN,2025-10-28
Magnolia Medical Technologies Inc,co_49448d655fb3,Warrants,Medical Devices & Equipment,,,N/A,,,900043,194,545,,,,,,HRZN,2025-10-28
Meditrina Inc,co_9865fe850557,Warrants,Medical Devices & Equipment,,,N/A,,,,233993,83,34,,83,,,HRZN,2025-10-28
Meditrina Inc,co_9865fe850557,Warrants,Medical Devices & Equipment,,,N/A,,,233993,83,25,,,,,,HRZN,2025-10-28
MicroTransponder Inc,co_cde172403562,Warrants,Medical Devices & Equipment,,,N/A,,,,103172,47,66,,47,,,HRZN,2025-10-28
MicroTransponder Inc,co_cde172403562,Warrants,Medical Devices & Equipment,,,N/A,,,103172,47,50,,0.47,,,,HRZN,2025-10-28
Onkos Surgical Inc,co_6e3fca6d0a18,Warrants,Medical Devices & Equipment,,,N/A,,,,443674,192,187,,192,,,HRZN,2025-10-28
Onkos Surgical Inc,co_6e3fca6d0a18,Warrants,Medical Devices & Equipment,,,N/A,,,443674,192,223,,,,,,HRZN,2025-10-28
Scientia Vascular Inc,co_9a50152a625a,Warrants,Medical Devices & Equipment,,,N/A,,,,34410,103,262,,103,,,HRZN,2025-10-28
Scientia Vascular Inc,co_9a50152a625a,Warrants,Medical Devices & Equipment,,,N/A,,,24000,60,60,,,,,,HRZN,2025-10-28
Scientia Vascular Inc,co_9a50152a625a,Warrants,Medical Devices & Equipment,,,N/A,,,49157,206,604,,,,,,HRZN,2025-10-28
Sonex Health Inc,co_d76bc1411a12,Warrants,Medical Devices & Equipment,,,N/A,,,,2637133,275,266,,275,,,HRZN,2025-10-28
Sonex Health Inc,co_d76bc1411a12,Warrants,Medical Devices & Equipment,,,N/A,,,2637133,275,159,,,,,,HRZN,2025-10-28
VERO Biotech LLC,co_a0e7044ed896,Warrants,Medical Devices & Equipment,,,N/A,,,,3701,376,198,,376,,,HRZN,2025-10-28
VERO Biotech LLC,co_a0e7044ed896,Warrants,Medical Devices & Equipment,,,N/A,,,3701,379,195,,,,,,HRZN,2025-10-28
Spineology Inc,co_b8f044bbdc50,Warrants,Medical Devices & Equipment,,,N/A,,,,2714033,143,108,,143,,,HRZN,2025-10-28
