company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Roof Opco LLC,co_948eb49bd3f4,First Lien,Other,11.35%,,SOFR,6.5%,,,,3173,3128,3128,,3128,,,,,,MAIN,2023-05-05
RTIC Subsidiary Holdings LLC,co_7851f4467604,First Lien,Other,12.52%,,SOFR,7.75%,,,,2055,2038,1882,,2038,,,,,,MAIN,2023-05-05
RTIC Subsidiary Holdings LLC,co_7851f4467604,First Lien,Other,12.52%,,SOFR,7.75%,,,,15364,15266,14069,,15266,,,,,,MAIN,2023-05-05
Rug Doctor LLC.,co_52edca2b803d,First Lien,Other,13.02%,2%,SOFR,6.25%,,,,5625,5595,5176,,5595,,,,,,MAIN,2023-05-05
Rug Doctor LLC.,co_52edca2b803d,First Lien,Other,13.02%,2%,SOFR,6.25%,,,,8340,8238,7674,,8238,,,,,,MAIN,2023-05-05
Savers Inc.,co_1f2106ff286a,First Lien,Other,10.34%,,SOFR,5.5%,,,,5642,5576,5416,,5576,,,,,,MAIN,2023-05-05
SIB Holdings LLC,co_3f0257f25068,First Lien,Other,11.21%,,SOFR,6.25%,,,,590,582,533,,582,,,,,,MAIN,2023-05-05
SIB Holdings LLC,co_3f0257f25068,First Lien,Other,11.21%,,SOFR,6.25%,,,,1544,1519,1395,,1519,,,,,,MAIN,2023-05-05
SIB Holdings LLC,co_3f0257f25068,First Lien,Other,11.21%,,SOFR,6.25%,,,,7732,7615,6989,,7615,,,,,,MAIN,2023-05-05
SIB Holdings LLC,co_3f0257f25068,Common Equity,Other,,,,,,,,,200,97,,200,,,,95238,,MAIN,2023-05-05
South Coast Terminals Holdings LLC,co_25f2b8f53fb0,First Lien,Other,,,SOFR,5.25%,,,,0,-66,-66,,-66,,,,,,MAIN,2023-05-05
South Coast Terminals Holdings LLC,co_25f2b8f53fb0,First Lien,Other,10.03%,,SOFR,5.25%,,,,41151,40540,41151,,40540,,,,,,MAIN,2023-05-05
South Coast Terminals Holdings LLC,co_25f2b8f53fb0,Common Equity,Other,,,,,,,,,864,1316,,864,,,,863636,,MAIN,2023-05-05
SPAU Holdings LLC,co_c52d2e837ad8,First Lien,Other,,,SOFR,7.5%,,,,0,-54,-54,,-54,,,,,,MAIN,2023-05-05
SPAU Holdings LLC,co_c52d2e837ad8,First Lien,Other,12.23%,,SOFR,7.5%,,,,15888,15617,15888,,15617,,,,,,MAIN,2023-05-05
SPAU Holdings LLC,co_c52d2e837ad8,Common Equity,Other,,,,,,,,,639,639,,639,,,,638710,,MAIN,2023-05-05
Staples Canada ULC,co_f75779209964,First Lien,Other,12.02%,,SOFR,7%,,,,13146,13111,11958,,13111,,,,,,MAIN,2023-05-05
Stellant Systems Inc.,co_a3a691180ef6,First Lien,Other,10.54%,,SOFR,5.5%,,,,7585,7524,7272,,7524,,,,,,MAIN,2023-05-05
Tacala Investment Corp.,co_23c5d92686d1,First Lien,Financial Services,8.34%,,SOFR,3.5%,,,,1974,1974,1943,,1974,,,,,,MAIN,2023-05-05
Team Public Choices LLC,co_0d8010a476fa,First Lien,Other,9.93%,,SOFR,5%,,,,14926,14666,14552,,14666,,,,,,MAIN,2023-05-05
Tectonic Financial LLC,co_b76ecb1e24ee,Common Equity,Financial Services,,,,,,,,,2000,5170,,2000,,,,200000,,MAIN,2023-05-05
Tex Tech Tennis LLC,co_1a29a00e71d7,Preferred Equity,Financial Services,,,,,,,,,1000,1980,,1000,,,,1000000,,MAIN,2023-05-05
