company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Cybermedia Technologies LLC,Preferred Equity,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Trantech Radiator Topco LLC,Other Debt,Other,12.00%,,N/A,,,,,,,,734,7920,14,MAIN,2024-11-08
Trantech Radiator Topco LLC,Common Equity,Other,,,,,,,,,5600,87,7800,5600,,MAIN,2024-11-08
Volusion LLC,Other Debt,Other,10.00%,,N/A,,,,,,,,107,2100,,MAIN,2024-11-08
Volusion LLC,Other Debt,Other,,,,,,,,,,,,166,14914,MAIN,2024-11-08
Volusion LLC,Unsecured Debt,Other,,,,,,,,,409,,,409,,MAIN,2024-11-08
Volusion LLC,Preferred Equity,Other,,,,,,,,,,,,11446,,MAIN,2024-11-08
Volusion LLC,Common Equity,Other,,,,,,,,,,,,2576,,MAIN,2024-11-08
Volusion LLC,Warrants,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Ziegler's NYPD LLC,Other Debt,Other,12.00%,,N/A,,,,,,,,41,450,,MAIN,2024-11-08
Ziegler's NYPD LLC,Preferred Equity,Other,,,,,,,,,,,,240,,MAIN,2024-11-08
Ziegler's NYPD LLC,Warrants,Other,,,,,,,,,,,,,,MAIN,2024-11-08
2717 MH LP.,Partnership Interest,Other,,,,,,,,,2222,-1106,141,7552,2796,MAIN,2024-11-08
2717 HPP-MS LP.,Partnership Interest,Other,,,,,,,,,67,248,67,,,MAIN,2024-11-08
ASC Interests LLC,Other Debt,Other,13.00%,,N/A,,,,,,,,163,1649,1,MAIN,2024-11-08
ASC Interests LLC,Partnership Interest,Other,,,,,,,,,,,,800,,MAIN,2024-11-08
ASC Interests LLC,Preferred Equity,Other,,,,,,,,,88,,,250,,MAIN,2024-11-08
ATS Workholding LLC,Other Debt,Other,5.00%,,N/A,,,,,,,,634,188,,MAIN,2024-11-08
ATS Workholding LLC,Preferred Equity,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Barfly Ventures LLC,Other Debt,Other,7.00%,,N/A,,,,,,,,45,711,,MAIN,2024-11-08
Barfly Ventures LLC,Partnership Interest,Other,,,,,,,,,,,,3320,,MAIN,2024-11-08
Gulf Publishing Holdings LLC,Other Debt,Other,9.50%,,N/A,,,,,,,,,,,MAIN,2024-11-08
IG Investor LLC,Other Debt,Other,,,,,,,,,,,,,763,MAIN,2024-11-08
IG Investor LLC,Common Equity,Aerospace & Defense,,,,,,,,,,14400,,,,MAIN,2024-11-08
Independent Pet Partners Intermediate Holdings LLC,Common Equity,Retail,,,,,,,,,,,18300,,,MAIN,2024-11-08
Jensen Jewelers of Idaho LLC,Other Debt,Other,6.75%,,N/A,,,,,,,,,,5,MAIN,2024-11-08
Jensen Jewelers of Idaho LLC,Partnership Interest,Retail,,,,,,,,,,811,,,,MAIN,2024-11-08
Kickhaefer Manufacturing Company LLC,Other Debt,Other,,,,,,,,,,,,,198,MAIN,2024-11-08
Kickhaefer Manufacturing Company LLC,Preferred Equity,Manufacturing,,,,,,,,,,12240,,,,MAIN,2024-11-08
Kickhaefer Manufacturing Company LLC,Partnership Interest,Other,,,,,,,,,,,,,10,MAIN,2024-11-08
Market Force Information LLC,Other Debt,Other,11.00%,,N/A,,,,,,,,,,804,MAIN,2024-11-08
Market Force Information LLC,Partnership Interest,Other,,,,,,,,,,,,,16642,MAIN,2024-11-08
Metalforming Holdings LLC,Other Debt,Other,,,,,,,,,,,,,35,MAIN,2024-11-08
Metalforming Holdings LLC,Preferred Equity,Other,8.00%,,,,,,,,,,,354,,MAIN,2024-11-08
Metalforming Holdings LLC,Common Equity,Other,,,,,,,,,,,,,,MAIN,2024-11-08
MH Corbin Holding LLC,Other Debt,Other,,,,,,,,,,,,,1229,MAIN,2024-11-08
MH Corbin Holding LLC,Preferred Equity,Other,,,,,,,,,,,,,330,MAIN,2024-11-08
MSC Adviser I LLC,Partnership Interest,Other,,,,,,,,,,,,,23201,MAIN,2024-11-08
Mystic Logistics Holdings LLC,Other Debt,Other,,,,,,,,,,,,,,MAIN,2024-11-08
American Health Staffing Group Inc.,Other Debt,Healthcare Services,13.50%,,N/A,5.00%,2021-11-19,2026-11-19,6550,6504,6504,,,,,MAIN,2024-11-08
American Nuts LLC,Other Debt,Food & Beverage,15.29%,15.29%,N/A,9.75%,2022-03-11,2026-04-10,6462,,,31640,,,,MAIN,2024-11-08
American Nuts LLC,Other Debt,Food & Beverage,15.29%,15.29%,N/A,9.75%,2022-03-11,2026-04-10,10507,,,,,,,MAIN,2024-11-08
American Nuts LLC,Other Debt,Food & Beverage,17.29%,17.29%,N/A,11.75%,2022-03-11,2026-04-10,5705,,,,,,,MAIN,2024-11-08
American Nuts LLC,Other Debt,Food & Beverage,17.29%,17.29%,N/A,11.75%,2022-03-11,2026-04-10,9283,,,,,,,MAIN,2024-11-08
American Teleconferencing Services Ltd.,Other Debt,Software,,,,,2021-09-17,2023-04-07,2980,,,16686,,,,MAIN,2024-11-08
American Teleconferencing Services Ltd.,Other Debt,Software,,,,,2016-05-19,2023-06-08,14370,,,,,,,MAIN,2024-11-08
ArborWorks LLC,Other Debt,Industrial Services,15.00%,15.00%,,,2023-11-06,2028-11-06,1907,,,,,,,MAIN,2024-11-08
ArborWorks LLC,Other Debt,Industrial Services,12.04%,12.04%,N/A,6.50%,2023-11-06,2028-11-06,7149,,,23350,,,,MAIN,2024-11-08
ArborWorks LLC,Preferred Equity,Industrial Services,,,,,,,32507,,,14060,,,,MAIN,2024-11-08
ArborWorks LLC,Common Equity,Industrial Services,,,,,,,3898,,,234,,,,MAIN,2024-11-08
Archer Systems LLC,Common Equity,Software,,,,,,,1387832,,,1388,,,,MAIN,2024-11-08
ATS Operating LLC,Other Debt,Other,12.16%,,N/A,6.50%,2022-01-18,2027-01-18,360,,,,,,,MAIN,2024-11-08
ATS Operating LLC,Other Debt,Other,11.16%,,N/A,5.50%,2022-01-18,2027-01-18,6660,,,,,,,MAIN,2024-11-08
Universal Wellhead Services Holdings LLC,Preferred Equity,Oil & Gas,14.00%,,N/A,,2016-12-07,,,716949,,,1032,,,MAIN,2024-11-08
Universal Wellhead Services Holdings LLC,Partnership Interest,Oil & Gas,,,,,,,4000000,,,4000,,,,MAIN,2024-11-08
World Micro Holdings LLC,Other Debt,Transportation & Logistics,13.00%,,N/A,,2022-12-12,,,12123,,,12123,,,MAIN,2024-11-08
World Micro Holdings LLC,Preferred Equity,Transportation & Logistics,,,,,,,3845,,,3845,,,,MAIN,2024-11-08
AB Centers Acquisition Corp.,Other Debt,Other,,,,P+,,2022-09-06,,,,1921,,,1921,MAIN,2024-11-08
AB Centers Acquisition Corp.,Other Debt,Other,11.43%,,N/A,6.00%,2022-09-06,2028-09-06,19817,,,19817,,,,MAIN,2024-11-08
AB Centers Acquisition Corp.,Other Debt,Other,11.43%,,N/A,6.00%,2023-06-21,2028-09-06,1372,,,1372,,,,MAIN,2024-11-08
Acumera Inc.,Other Debt,Other,,,,SF+,,2023-06-07,,,,24796,,,24796,MAIN,2024-11-08
Acumera Inc.,Warrants,Business Services,,,,,,,17525,,,524,,,,MAIN,2024-11-08
Adams Publishing Group LLC,Other Debt,Other,11.00%,,N/A,7.00%,,2022-03-11,,7841,,,7841,,,MAIN,2024-11-08
Boccella Precast Products LLC,Other Debt,Other,10.00%,,N/A,,,,,24,,,320,,,MAIN,2024-11-08
Buca C LLC,Other Debt,Other,12.00%,,N/A,,,,,292,1659,12337,292,,,MAIN,2024-11-08
Career Team Holdings LLC,Other Debt,Other,,,,SF+,,,,,18,,,439,,MAIN,2024-11-08
Career Team Holdings LLC,Other Debt,Other,12.50%,,N/A,,,,,,,,1950,20090,31,MAIN,2024-11-08
Chandler Signs Holdings LLC,Other,Other,,,N/A,,,,,,,,1790,1797,,MAIN,2024-11-08
Classic H&G Holdings LLC,Other Debt,Other,,6.00%,,,,,397,,,4560,,,,MAIN,2024-11-08
Classic H&G Holdings LLC,Other Debt,Other,,,N/A,,,,,,,1201,19274,32,,MAIN,2024-11-08
Congruent Credit Opportunities Funds,Partnership Interest,Other,,,,,,,,,87,345,7657,87,,MAIN,2024-11-08
DMA Industries LLC,Other Debt,Other,12.00%,,N/A,,,,,,,,1896,21200,32,MAIN,2024-11-08
Dos Rios Partners,Partnership Interest,Other,,,,,,,,,754,9127,759,,,MAIN,2024-11-08
Dos Rios Partners,Partnership Interest,Other,,,,,,,,,241,2898,241,,,MAIN,2024-11-08
Dos Rios Stone Products LLC,Preferred Equity,Metals & Mining,,,,,,,,,,2000,0.7,2000,,MAIN,2024-11-08
EIG Fund Investments,Partnership Interest,Other,,,,,,,,,16,68,1013,16,,MAIN,2024-11-08
Flame King Holdings LLC,Other Debt,Other,,,,L+,,,,,,484,,,7600,MAIN,2024-11-08
Flame King Holdings LLC,Other Debt,Other,,,,L+,,,,,,1583,,,21200,MAIN,2024-11-08
Freeport Financial SBIC Fund LP,Partnership Interest,Other,,,,,,,,,14,,,3483,14,MAIN,2024-11-08
Freeport Financial SBIC Fund LP,First Lien,Other,,,,,,,,,446,,,5848,,MAIN,2024-11-08
GFG Group LLC,Other Debt,Other,8.00%,,N/A,,,,,,,,763,11345,22,MAIN,2024-11-08
Hawk Ridge Systems LLC,Other Debt,Other,,6.00%,,,,,234,,,3185,4581,,,MAIN,2024-11-08
AMEREQUIP LLC,Common Equity,Other,,,,,,,,,,1844,,,,MAIN,2024-11-08
American Health Staffing Group Inc.,Other Debt,Other,,,,P+,,2021-11-19,,6162,,,6130,,,MAIN,2024-11-08
American Nuts LLC,Other Debt,Other,15.23%,,N/A,9.75%,2022-03-11,2026-04-10,7248,,,,,,,MAIN,2024-11-08
American Nuts LLC,Other Debt,Other,15.23%,,N/A,9.75%,2022-03-11,2026-04-10,11793,,,,,,,MAIN,2024-11-08
American Teleconferencing Services Ltd.,Other Debt,Other,,,,,2021-09-17,2023-04-07,3166,,,,,,,MAIN,2024-11-08
American Teleconferencing Services Ltd.,Other Debt,Other,,,,,2016-05-19,2023-06-08,15489,,,16746,,,,MAIN,2024-11-08
Ansira Partners II LLC,Other Debt,Other,11.88%,,N/A,6.75%,2024-07-01,2029-07-01,834,,,,,,,MAIN,2024-11-08
Ansira Partners II LLC,Other Debt,Other,12.08%,,N/A,6.75%,2024-07-01,2029-07-01,77159,,,75963,,,,MAIN,2024-11-08
ArborWorks LLC,Other Debt,Other,15.00%,,N/A,,2023-11-06,2028-11-06,3965,,,,,,,MAIN,2024-11-08
ArborWorks LLC,Other Debt,Other,11.76%,,N/A,6.50%,2023-11-06,2028-11-06,7826,,,11.76,,,,MAIN,2024-11-08
ArborWorks LLC,Preferred Equity,Other,,,,,,,,,14060,,,,,MAIN,2024-11-08
ArborWorks LLC,Common Equity,Other,,,,,,,,,234,,,26085,,MAIN,2024-11-08
Archer Systems LLC,Other Debt,Other,,,,,,,,3166,,,,,,MAIN,2024-11-08
Joerns Healthcare LLC,Other Debt,Healthcare Services,23.63%,18.00%,N/A,,2021-11-15,2024-01-31,2431,,,,,,,MAIN,2024-11-08
Joerns Healthcare LLC,Other Debt,Healthcare Services,21.63%,16.00%,N/A,,2024-08-21,,,,,,,,,MAIN,2024-11-08
Joerns Healthcare LLC,Other Debt,Healthcare Services,21.63%,16.00%,N/A,,2024-08-21,,,,,,,,,MAIN,2024-11-08
Joerns Healthcare LLC,Common Equity,Healthcare Services,,,,,,,,4429,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Other Debt,Automotive,11.64%,6.00%,N/A,,2026-12-22,,,,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Other Debt,Automotive,11.61%,6.00%,N/A,,2026-12-22,,,,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Common Equity,Automotive,,,,,,,,1684,,,,,,MAIN,2024-11-08
KMS LLC,Other Debt,Other,14.75%,9.25%,N/A,,2026-10-04,,,,,,,,,MAIN,2024-11-08
KMS LLC,Other Debt,Other,14.75%,9.25%,N/A,,2026-10-04,,,,,,,,,MAIN,2024-11-08
Lightbox Holdings LP,Other Debt,Real Estate,10.62%,5.00%,N/A,,2026-05-09,,,,,,,,,MAIN,2024-11-08
LKCM Headwater Investments I LP,Partnership Interest,Investment Vehicles,,,,,,,,1746,,,,,,MAIN,2024-11-08
LL Management Inc.,Other Debt,Transportation & Logistics,12.71%,7.25%,N/A,,2024-09-25,,,,,,,,,MAIN,2024-11-08
LL Management Inc.,Other Debt,Transportation & Logistics,12.71%,7.25%,N/A,,2024-09-25,,,,,,,,,MAIN,2024-11-08
LL Management Inc.,Other Debt,Transportation & Logistics,12.71%,7.25%,N/A,,2024-09-25,,,,,,,,,MAIN,2024-11-08
LL Management Inc.,Other Debt,Transportation & Logistics,12.71%,7.25%,N/A,,2024-09-25,,,,,,,,,MAIN,2024-11-08
LL Management Inc.,Other Debt,Transportation & Logistics,12.71%,7.25%,N/A,,2024-09-25,,,,,,,,,MAIN,2024-11-08
LLFlex LLC,Other Debt,Other,15.54%,9.00%,N/A,1.00%,2021-08-16,2026-08-16,4428,,,,,,,MAIN,2024-11-08
Logix Acquisition Company LLC,Other,Other,,,,,,,,,,,,,,MAIN,2024-11-08
Computer Data Source LLC,Other Debt,Other,13.29%,,N/A,8.00%,2021-08-06,2026-08-06,7500,,,,,,,MAIN,2024-11-08
Computer Data Source LLC,Other Debt,Other,,8.00%,N/A,8.00%,2024-03-29,2026-08-06,,,,,,,,MAIN,2024-11-08
Computer Data Source LLC,Other Debt,Other,13.28%,,N/A,8.00%,2021-08-06,2026-08-06,18106,,,,25242,,,MAIN,2024-11-08
Construction Supply Investments LLC,Partnership Interest,Construction & Engineering,,,,,,,,,,,,,,MAIN,2024-11-08
Coregistics Buyer LLC,Other Debt,Packaging,,6.50%,N/A,6.50%,2024-06-29,2029-06-28,1669,,,,,,,MAIN,2024-11-08
Coregistics Buyer LLC,Other Debt,Packaging,11.45%,,N/A,6.50%,2024-06-29,2029-06-28,10704,,,,,,,MAIN,2024-11-08
Coregistics Buyer LLC,Other Debt,Packaging,11.62%,,N/A,6.50%,2024-08-15,2029-06-28,7136,,,,,,,MAIN,2024-11-08
Coregistics Buyer LLC,Other Debt,Packaging,11.70%,,N/A,6.75%,2024-06-29,2029-06-28,32192,,,,50478,,,MAIN,2024-11-08
CQ Fluency LLC,Other Debt,Business Services,,6.75%,N/A,6.75%,2023-12-27,2027-06-27,,,,,,,,MAIN,2024-11-08
CQ Fluency LLC,Other Debt,Business Services,11.49%,,N/A,6.75%,2023-12-27,2027-06-27,10969,,,,10611,,,MAIN,2024-11-08
Creative Foam Corp.,Other Debt,Automotive,,5.75%,N/A,5.75%,2024-06-27,2029-06-27,,,,,,,,MAIN,2024-11-08
Creative Foam Corp.,Other Debt,Automotive,10.35%,,N/A,5.75%,2024-06-27,2029-06-27,106952,,,,104614,,,MAIN,2024-11-08
Dalton US Inc.,Common Equity,Business Services,,,,,,,,,,,,720,,MAIN,2024-11-08
DTE Enterprises LLC,Preferred Equity,Energy & Utilities,10.00%,,N/A,,2018-04-13,,,,1316,,,,,MAIN,2024-11-08
DTE Enterprises LLC,Preferred Equity,Energy & Utilities,8.00%,,N/A,,2018-04-13,,,,776,,2092,,,MAIN,2024-11-08
Dynamic Communities LLC,Other,Other,,,,,,,,,,,,,,MAIN,2024-11-08
