company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Locus Robotics Corp.,co_bef8da650954,Preferred Equity,Industrials,6%,,N/A,,,2022-11-30,,,,11316312,7.18,10004286,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CoreWeave Inc.,co_3ab40ca0cdc6,Common Equity,Software & Technology,,,N/A,,,2024-09-26,,,,5221824,3.31,5002973,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CoreWeave Inc.,co_3ab40ca0cdc6,Preferred Equity,Software & Technology,,,N/A,,,2024-10-08,,,,5221824,3.31,5000610,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Supplying Demand Inc.,co_71381004de4e,Preferred Equity,Food & Beverage,,,N/A,,,2024-01-18,,,,9999996,6.35,10003934,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Shogun Enterprises Inc.,co_01930aba2150,Preferred Equity,Financial Services,,,N/A,,,2021-02-26,,,,2342458,1.49,3501657,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Shogun Enterprises Inc.,co_01930aba2150,Preferred Equity,Financial Services,,,N/A,,,2021-02-26,,,,2342461,1.49,3501661,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Shogun Enterprises Inc.,co_01930aba2150,Preferred Equity,Financial Services,,,N/A,,,2022-05-02,,,,355264,0.23,530822,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Shogun Enterprises Inc.,co_01930aba2150,Preferred Equity,Financial Services,,,N/A,,,2023-07-12,,,,334636,0.21,366606,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Shogun Enterprises Inc.,co_01930aba2150,Warrants,Financial Services,,,N/A,,,2023-07-12,2026-07-12,,,,,140060,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Preferred Equity,Real Estate,8%,,N/A,,,2021-08-09,,,,,,3751518,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Preferred Equity,Real Estate,8%,,N/A,,,2021-08-09,,,,,,587951,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Preferred Equity,Real Estate,7%,,N/A,,,2023-01-13,,,,4412280,2.80,4418406,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Orchard Technologies Inc.,co_73a016b6042c,Common Equity,Real Estate,,,N/A,,,2021-08-09,,,,,,3751518,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Neutron Holdings Inc.,co_20b109cc537d,Preferred Equity,Transportation & Logistics,,,N/A,,,2019-01-25,,,,3485014,2.21,10007322,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Neutron Holdings Inc.,co_20b109cc537d,Other Debt,Transportation & Logistics,4%,,Fixed,,,2020-05-11,2027-05-11,506339,,506339,0.32,506339,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Neutron Holdings Inc.,co_20b109cc537d,Warrants,Transportation & Logistics,,,N/A,,,2020-05-11,,,,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
True Global Ventures 4 Plus Pte Ltd.,co_284e93b68ba8,Other,Financial Services,,,N/A,,,2021-08-27,,,585016,3489005,2.21,2000000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
PayJoy Inc.,co_7b07ade7ad85,Other,Software & Technology,,,N/A,,,2021-07-23,,,2501570,2500002,1.59,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
PayJoy Inc.,co_7b07ade7ad85,Other,Software & Technology,,,N/A,,,2023-05-25,,,501470,500000,0.32,500000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Trax Ltd.,co_a558b47cf525,Other,Consumer & Retail,,,N/A,,,2021-06-09,,,2781148,83306,0.05,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
