company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
"Cart.com, Inc.",Warrants,Business Services,,,,,,,2021-12-30,,477,640,,477,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"LeoLabs, Inc.",Warrants,Other,,,,,,,2022-01-20,,197,197,,197,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Quick Commerce Ltd.,Warrants,Other,,,,,,,2022-05-04,,311,111,,311,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Substack Inc.,Warrants,Other,,,,,,,2022-07-13,,6,6,,6,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Forum Brands Holdings, Inc.",Warrants,Software & Technology,,,,,,,2021-07-06,,556,160,,556,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Metropolis Technologies, Inc.",Warrants,Software & Technology,,,,,,,2022-03-30,,87,523,,87,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Optoro, Inc.",,Business to Business Marketplace,,,,,,,2015-07-13,,40,67,,40,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"RetailNext, Inc.",,Business to Business Marketplace,,,,,,,2017-11-16,,80,111,,80,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Transfix, Inc.",,Business Services,,,,,,,2019-05-31,,188,188,,188,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Grey Orange International Inc.,,Software & Technology,,,,,,,2021-03-16,,183,116,,183,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Activehours, Inc.",,Financial Services,,,,,,,2020-10-08,,346,588,,346,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
The Aligned Company,,Financial Services,,,,,,,2021-10-21,,17,191,,17,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Alyk, Inc.",,Consumer & Retail,,,,,,,2021-06-16,,21,8,,21,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Athletic Greens International, Inc.",,Consumer & Retail,,,,,,,2022-06-03,,85,84,,85,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Don't Run Out, Inc.",,Consumer & Retail,,,,,,,2021-12-30,,30,27,,30,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hims & Hers Health, Inc.",,Consumer & Retail,,,,,,,2019-11-27,,73,481,,73,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"AvantStay, Inc.",,Consumer & Retail,,,,,,,2022-12-12,,151,151,,151,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Baby Generation, Inc.",,Consumer & Retail,,,,,,,2022-01-26,,25,25,,25,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Clutter Inc.,,Consumer & Retail,,,,,,,2018-10-18,,533,263,,533,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
everdrop GmbH,,Consumer & Retail,,,,,,,2022-03-16,,25,25,,25,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
